Symbol,logFC,logCPM,PValue,FDR
CR44065,-4.285550263,3.353465986,2.26E-25,2.14E-23
CG12970,6.347028981,1.106056009,3.55E-25,3.32E-23
CG5758,2.424436855,6.304100619,3.89E-25,3.61E-23
CG33288,-1.994851338,6.672741816,4.65E-25,4.25E-23
Or22b,-7.485863638,4.870514299,4.67E-25,4.25E-23
CG43861,-3.234927893,4.59250218,6.14E-25,5.54E-23
CG8170,5.674904795,1.345653222,1.14E-24,1.01E-22
CG42766,-5.208677583,3.579187699,1.91E-24,1.69E-22
ninaB,-3.005291994,4.859875428,2.43E-24,2.12E-22
CG17278,2.048208258,6.913297753,4.88E-24,4.24E-22
CG5071,-3.015981162,5.116558777,9.07E-24,7.80E-22
SerT,-1.812414139,7.937544448,9.77E-24,8.33E-22
CG31689,-1.716299556,7.653369677,1.45E-23,1.22E-21
CG4822,-1.7102839,8.591535964,1.92E-23,1.61E-21
ATP8B,-1.759923719,8.091955882,2.24E-23,1.86E-21
hec,-3.97486914,2.489696875,2.89E-23,2.38E-21
CG13659,-3.486480292,4.316589533,9.29E-23,7.58E-21
CG15661,-1.729000489,8.42228041,1.29E-22,1.05E-20
CG17097,9.483885971,1.161660464,1.51E-22,1.21E-20
spab,-1.786511708,7.253913067,8.49E-22,6.75E-20
btv,-1.780578239,6.893374325,1.13E-21,8.95E-20
Or82a,-4.873259706,3.127600624,1.15E-21,9.03E-20
CG43647,-3.340110729,4.118420306,1.44E-21,1.12E-19
CG31115,-3.774746418,2.914279427,4.58E-21,3.52E-19
Cyp6g1,2.021206337,10.5195113,5.01E-21,3.83E-19
CG30116,-1.968364744,6.103166205,5.34E-21,4.05E-19
CR45822,4.141405764,1.98759803,6.46E-21,4.85E-19
CG42284,-1.809564668,6.5353268,7.17E-21,5.34E-19
CG32392,-1.615108489,7.594809782,9.97E-21,7.37E-19
Obp83ef,-3.308167126,3.981874815,1.18E-20,8.64E-19
Or85f,-3.694358243,2.575259338,2.11E-20,1.54E-18
CG11550,-1.85776646,9.719391501,2.34E-20,1.69E-18
CG15170,-3.137682836,4.048450245,2.52E-20,1.81E-18
CG5079,-3.2723577,3.929739008,3.41E-20,2.43E-18
Or65c,-6.305601987,3.611854286,5.24E-20,3.70E-18
Nos,-3.725977012,4.172562397,5.65E-20,3.96E-18
Osi7,-3.498655751,2.425084087,1.52E-19,1.06E-17
CG12896,-4.882793079,0.860131285,1.92E-19,1.32E-17
CG17672,3.477247246,2.657949787,2.36E-19,1.62E-17
bgm,-1.611833865,8.665963377,4.05E-19,2.76E-17
CR43467,-4.426986865,1.238150544,4.15E-19,2.80E-17
CG14153,1.518090916,8.912639022,4.27E-19,2.86E-17
Tsp42El,-1.974973389,5.834827256,4.71E-19,3.14E-17
CG13318,1.734097668,7.532725855,4.80E-19,3.17E-17
Obp59a,1.533964134,12.00210851,5.37E-19,3.53E-17
ppk19,-4.271893424,1.225005283,6.24E-19,4.07E-17
CG10638,-1.643082703,7.242888753,6.38E-19,4.14E-17
Hsp23,3.335300831,4.676495392,7.09E-19,4.56E-17
Obp19a,-7.426387263,10.81059741,7.89E-19,5.04E-17
mAChR-B,-2.608151124,4.749233848,9.96E-19,6.33E-17
CG30339,-3.380775882,2.339754585,1.54E-18,9.73E-17
CG9498,-1.586869071,8.452022838,1.81E-18,1.13E-16
CG18641,-4.541822266,0.92537736,3.17E-18,1.97E-16
Or92a,-8.359206649,6.717033049,3.32E-18,2.05E-16
ppk25,-2.479050956,5.530320034,3.81E-18,2.34E-16
CG15522,-2.5461377,4.797885214,4.29E-18,2.62E-16
CG12268,-2.394361449,5.209767357,4.40E-18,2.67E-16
CG15211,-1.599120201,7.057366886,4.59E-18,2.77E-16
fa2h,-2.944397378,4.402326033,7.67E-18,4.60E-16
to,-1.772886008,11.061645,9.08E-18,5.40E-16
Vmat,1.546652212,7.710125756,1.57E-17,9.31E-16
GABA-B-R1,-1.504706258,7.027895775,4.45E-17,2.61E-15
CG8300,-1.649498115,6.479444672,1.03E-16,6.01E-15
Jheh3,-1.997446057,6.479539012,1.31E-16,7.61E-15
Pde6,-1.485140503,7.100305546,2.17E-16,1.25E-14
CG10336,3.617833363,3.168894976,2.37E-16,1.36E-14
CG17599,-1.685472709,6.176798356,2.74E-16,1.56E-14
CG30271,-1.365344448,7.523562442,3.87E-16,2.19E-14
tut,2.893092012,3.066928344,4.64E-16,2.61E-14
CG16798,3.773518416,1.957318525,8.29E-16,4.64E-14
Cyp6a9,2.063181631,5.851740665,8.38E-16,4.66E-14
CG1227,1.703244061,6.603664664,9.83E-16,5.44E-14
boss,-1.569464799,6.413417057,1.28E-15,7.02E-14
CG13578,-1.453782805,7.32804214,1.59E-15,8.69E-14
CG8083,-3.149117296,2.020672953,1.91E-15,1.04E-13
CR43170,2.95396983,2.478406725,1.96E-15,1.06E-13
CG15201,1.369352888,7.640206906,2.39E-15,1.28E-13
Tsp29Fa,-1.741583853,6.058648476,2.75E-15,1.47E-13
CG17324,2.486937507,4.686516023,2.96E-15,1.57E-13
CAH2,1.308012484,10.84116461,3.29E-15,1.74E-13
Or47a,-7.390130996,5.709978581,3.62E-15,1.90E-13
Hsp26,2.870602913,4.65733034,4.81E-15,2.51E-13
Gr93a,-3.317583222,1.831633014,6.25E-15,3.25E-13
CG10126,-1.366812478,8.615550332,7.61E-15,3.93E-13
Frq1,-1.532711917,6.76499909,8.87E-15,4.56E-13
ppk5,-3.013621255,3.134083556,1.04E-14,5.33E-13
CG32444,1.602393289,6.800350541,1.21E-14,6.16E-13
CG10035,-2.480761784,4.421213211,1.85E-14,9.35E-13
CG13558,3.873503381,1.22764399,1.93E-14,9.72E-13
CG13386,3.115408385,2.842195689,2.03E-14,1.02E-12
CR45042,-4.793143864,-0.067951687,2.28E-14,1.14E-12
Lgr1,-2.348409528,4.577863371,2.82E-14,1.40E-12
btd,-2.74551915,3.457767062,3.78E-14,1.86E-12
Drip,1.423301268,7.257520774,4.18E-14,2.05E-12
Tsf1,1.510868004,9.977125838,4.50E-14,2.20E-12
CR44525,-3.852314674,0.607585954,4.63E-14,2.25E-12
Cpr47Ea,-2.837727798,2.213750795,5.56E-14,2.68E-12
Su(H),-1.669459961,6.866062435,5.73E-14,2.75E-12
fabp,-1.445981096,6.400276192,6.31E-14,3.02E-12
Spn42De,4.195700234,0.006152385,6.83E-14,3.25E-12
Idgf6,1.314941767,8.359394343,1.16E-13,5.51E-12
CG13950,1.253128242,7.993268647,1.43E-13,6.74E-12
sNPF,-1.378887566,7.267104644,1.77E-13,8.28E-12
5-HT2A,-2.038985091,5.199216626,1.85E-13,8.64E-12
Rh4,2.892674242,1.467042363,1.97E-13,9.13E-12
Ccp84Ac,-4.843324353,-0.013186911,2.23E-13,1.03E-11
pHCl,-1.444493295,7.010513486,2.24E-13,1.03E-11
CG32137,-1.264537811,7.768971137,2.48E-13,1.14E-11
ppk14,-3.936611832,0.407174791,2.77E-13,1.26E-11
GstE1,1.601908447,6.129575564,2.85E-13,1.29E-11
CG14692,-1.223625495,8.386104654,3.48E-13,1.57E-11
fid,-1.372157305,6.600674174,4.15E-13,1.86E-11
mthl3,2.570316037,2.781202843,4.42E-13,1.97E-11
Cyp4p2,-2.675532706,2.73781248,6.23E-13,2.77E-11
Krn,-1.476589197,6.01674166,7.20E-13,3.18E-11
CR43498,-4.722793754,-0.114655062,7.84E-13,3.45E-11
Cpr64Ac,1.585961851,6.333645383,8.14E-13,3.56E-11
Obp83a,-8.189753615,13.40782137,9.02E-13,3.93E-11
Tep4,1.330579952,8.534540123,9.25E-13,4.01E-11
CG15666,-1.27935599,7.273193134,9.29E-13,4.01E-11
CG32104,-1.949941653,5.888393449,9.97E-13,4.29E-11
CG32271,-1.624195291,6.653376904,1.02E-12,4.37E-11
CG32333,-1.6376071,5.738285005,1.20E-12,5.10E-11
BBS4,-1.332527237,6.731119863,1.26E-12,5.35E-11
Cyp6a19,3.970037104,0.000882369,1.30E-12,5.49E-11
5-HT2B,-2.171713085,4.46535736,1.35E-12,5.68E-11
Sirup,1.476785464,6.828150867,1.45E-12,6.08E-11
GstE7,-1.396780442,6.547661953,1.79E-12,7.46E-11
Slob,-1.199548956,8.117456816,1.80E-12,7.49E-11
CG14247,3.00767775,1.060965364,2.07E-12,8.56E-11
Syngr,-1.26002141,7.196770673,2.12E-12,8.74E-11
ADPS,-1.472976549,6.017489479,2.34E-12,9.57E-11
Gld,2.353708908,4.159042973,2.71E-12,1.10E-10
cDIP,-1.324866134,7.425867162,2.95E-12,1.20E-10
RSG7,-1.26504287,6.860600935,3.27E-12,1.32E-10
CG30356,-2.545855262,2.35457727,3.29E-12,1.32E-10
Mal-B1,1.662627181,5.985830307,3.50E-12,1.40E-10
CG10936,-1.612437862,5.896167936,3.67E-12,1.46E-10
CR44285,-4.459410784,-0.348560568,3.68E-12,1.46E-10
Mur89F,3.430809664,1.571181965,3.86E-12,1.53E-10
link,-3.088254109,1.108980167,4.24E-12,1.67E-10
7B2,-1.22974943,8.008730772,5.23E-12,2.05E-10
CG14661,-1.256797535,11.84578046,5.45E-12,2.13E-10
CR32111,2.714668739,1.481553845,7.09E-12,2.76E-10
GstZ2,1.609176572,6.66349545,8.09E-12,3.14E-10
CG6123,-3.134073319,1.434933446,8.26E-12,3.19E-10
Ady43A,1.261121318,6.809359192,9.76E-12,3.75E-10
Obp83b,-8.178444132,12.84485656,9.90E-12,3.79E-10
twit,1.226942012,6.810258192,1.06E-11,4.06E-10
Mvl,-1.229355364,6.890323,1.12E-11,4.25E-10
