Symbol,log2FC,log2RPM,p-value,FDR,Current Symbol,Current FBgn
l-3-neo18,-0.017850261,7.473375394,0.91538098,0.968909605,l(3)neo18,FBgn0011455
Ccn,-0.017141638,7.123615706,0.915391131,0.968909605,Ccn,FBgn0052183
bip1,-0.061915591,2.034388234,0.915814393,0.969235652,bip1,FBgn0026263
CG14894,-0.02551739,4.779468854,0.915958172,0.969235652,CG14894,FBgn0038428
CG8193,0.124706865,2.654528565,0.916021031,0.969235652,PPO2,FBgn0033367
CG7580,-0.01707257,7.824181862,0.916214123,0.96932643,CG7580,FBgn0036728
Rh5,0.192514747,0.563136055,0.916684051,0.969710037,Rh5,FBgn0014019
CG1998,-0.016535954,6.968974207,0.917282891,0.970229907,CG1998,FBgn0030485
CG14224,-0.016350777,8.07837428,0.917574295,0.970357004,Ubqn,FBgn0031057
CG33970,0.016550441,10.25161588,0.917617876,0.970357004,CG33970,FBgn0053970
CG9448,-0.016030092,7.379428047,0.917831477,0.970408248,trbd,FBgn0037734
l-2-k05819,0.021144605,6.697616708,0.917881169,0.970408248,l(2)k05819,FBgn0022153
CG7332,0.01557079,6.106770388,0.918211657,0.970644057,CG7332,FBgn0030973
mRpL38,-0.029907226,4.886452772,0.91834405,0.97066881,mRpL38,FBgn0030552
CG6208,0.040359867,3.319164241,0.918504308,0.97066881,gammaSnap2,FBgn0266721
CanA-14F,-0.022590007,5.22923081,0.918563682,0.97066881,CanA-14F,FBgn0030758
CG2982,-0.032134983,4.658188834,0.918768368,0.97066881,CG2982,FBgn0266570
CG6659,-0.016063938,5.80214447,0.918814806,0.97066881,CG6659,FBgn0030946
CG5491,0.048183043,2.080588235,0.91887975,0.97066881,IntS12,FBgn0039459
DMAP1,-0.019506237,5.299472623,0.919069048,0.970755265,DMAP1,FBgn0034537
CG8180,-0.030930799,5.074655329,0.919189822,0.97076933,CG8180,FBgn0034021
Bap55,0.026456263,4.803883463,0.919484339,0.970966864,Bap55,FBgn0025716
rept,-0.027897432,4.44894844,0.919695102,0.971027568,rept,FBgn0040075
Bap,0.015826424,7.820676376,0.919756797,0.971027568,AP-1-2beta,FBgn0010380
fat2,0.019810394,7.0705071,0.91992676,0.97109352,kug,FBgn0261574
CG11526,-0.015786332,6.610141222,0.920144947,0.971210357,Strip,FBgn0035437
Cont,-0.016542767,7.930920861,0.920376831,0.971341623,Cont,FBgn0037240
Uch,-0.01903366,5.46058014,0.920540293,0.971400655,Uch,FBgn0010288
pds5,0.015605895,6.027085493,0.92077527,0.971486896,pds5,FBgn0260012
Tsp29Fa,-0.016271207,7.248954668,0.920837092,0.971486896,Tsp29Fa,FBgn0032074
RhoGDI,0.015793864,7.139522439,0.921324591,0.971812827,RhoGDI,FBgn0036921
CG8783,0.02885461,4.398179091,0.921376377,0.971812827,CG8783,FBgn0036397
CG16791,-0.01472284,6.823705135,0.921468749,0.971812827,CG16791,FBgn0038881
Rev1,-0.029441061,4.105219986,0.921680937,0.971923146,Rev1,FBgn0035150
slpr,0.016600677,5.536586134,0.922929206,0.973125869,slpr,FBgn0030018
ppa,-0.016289972,6.163948993,0.923151191,0.973242085,ppa,FBgn0020257
CG12825,-0.155033982,0.820801018,0.923254889,0.973242085,CG12825,FBgn0033221
l-1-G0196,0.017489277,8.360391479,0.923463533,0.973317209,l(1)G0196,FBgn0027279
CG6236,-0.017176313,5.948198735,0.923641584,0.973317209,CG6236,FBgn0038318
CG6694,-0.019431944,4.615777171,0.923679379,0.973317209,ZC3H3,FBgn0035900
CG15601,0.054776,2.272455579,0.923848484,0.973317209,CG15601,FBgn0030673
CG7597,0.017292398,6.588897925,0.923864852,0.973317209,Cdk12,FBgn0037093
Oli,0.045455161,2.282321475,0.924573915,0.973848688,Oli,FBgn0032651
xmas-1,0.08027691,2.169081105,0.924584923,0.973848688,xmas-1,FBgn0016080
CG1319,-0.019807583,4.921086714,0.924929125,0.974062379,CG1319,FBgn0035529
Pis,0.016472993,7.16863188,0.925003448,0.974062379,Pis,FBgn0030670
mbf1,0.017030945,6.164446929,0.925557663,0.974435058,mbf1,FBgn0262732
AnnX,0.014354699,8.089205194,0.925592868,0.974435058,AnxB10,FBgn0000084
CG3160,0.017550509,5.381117885,0.925753291,0.974435058,CG3160,FBgn0029789
eIF-1A,0.015000584,7.878692863,0.92583016,0.974435058,eIF-1A,FBgn0026250
CG14967,0.014298896,6.439812711,0.925896672,0.974435058,CG14967,FBgn0035420
Cyp12c1,-0.069300377,2.219462761,0.92626608,0.974615383,Cyp12c1,FBgn0036806
Khc,-0.014982258,7.753576186,0.926291353,0.974615383,Khc,FBgn0001308
agt,0.040944927,3.704227354,0.926391664,0.974615383,agt,FBgn0024912
CG42367,-0.064781133,0.704541747,0.92678229,0.97491281,CG42367,FBgn0259713
Cctgamma,-0.016314937,6.59740754,0.927653028,0.975715154,Cctgamma,FBgn0015019
CG3709,-0.056243728,2.275706195,0.928250766,0.9762302,CG3709,FBgn0031227
CG2993,0.024318786,4.979878268,0.928821999,0.976588786,CG2993,FBgn0037521
Tsp86D,-0.030118174,3.904480889,0.92886155,0.976588786,Tsp86D,FBgn0037848
NPFR76F,-0.02761222,5.194191043,0.928916033,0.976588786,sNPF-R,FBgn0036934
CG5781,-0.0645605,1.084561487,0.929274081,0.976628399,CG5781,FBgn0032448
CG2970,0.016461336,5.62145947,0.929306829,0.976628399,CG2970,FBgn0034936
CG17219,0.111502743,0.995100566,0.929367489,0.976628399,CG17219,FBgn0031494
CG17912,0.019695673,5.383005982,0.929431286,0.976628399,CG17912,FBgn0032600
CG10055,0.017530089,5.26319879,0.92970244,0.976628399,CG10055,FBgn0037482
CG10343,-0.038422079,3.814098133,0.929723491,0.976628399,CG10343,FBgn0032703
CG15894,-0.015337099,5.773142192,0.929748015,0.976628399,CG15894,FBgn0029864
mRpL13,0.025772399,3.719100171,0.929818559,0.976628399,mRpL13,FBgn0032720
Pi3K92E,-0.01562282,6.056685419,0.930068827,0.976640166,Pi3K92E,FBgn0015279
CG5611,0.037484557,3.210538147,0.930206374,0.976640166,CG5611,FBgn0039531
Tak1,0.014272682,6.934062487,0.930232037,0.976640166,Tak1,FBgn0026323
mRpS18B,0.034073341,3.897465426,0.93026219,0.976640166,mRpS18B,FBgn0032849
aop,0.016873989,5.732427226,0.930498383,0.976665342,aop,FBgn0000097
Cct5,0.016529582,6.843151141,0.930502391,0.976665342,Cct5,FBgn0010621
AlCR2,-0.07600885,2.063365173,0.930660912,0.976687458,AstC-R2,FBgn0036789
CG1732,0.020018586,6.022841948,0.930739686,0.976687458,CG1732,FBgn0039915
CG6701,-0.014843893,7.437547824,0.930887221,0.976728822,CG6701,FBgn0033889
CG12848,-0.018290686,4.719578436,0.931282056,0.976858396,CG12848,FBgn0040666
Nup62,0.026516941,4.304028576,0.931351628,0.976858396,Nup62,FBgn0034118
inaF,0.046835618,2.319703648,0.931394956,0.976858396,"inaF-A , inaF-B , inaF-C , inaF-D","FBgn0085351 , FBgn0259918 , FBgn0085350 , FBgn0260812"
Taspase1,-0.057484124,3.043270889,0.931443239,0.976858396,Taspase1,FBgn0263602
trbl,0.017523387,4.454187829,0.931626703,0.976937392,trbl,FBgn0028978
CG32706,-0.120628787,1.127141082,0.931737141,0.976939802,CG32706,FBgn0052706
CG11983,-0.031164532,0.884158202,0.932029049,0.977132462,CG11983,FBgn0037654
Exp6,-0.012082257,5.559263206,0.932181265,0.977178644,ebo,FBgn0266572
EloA,0.025197938,4.902708111,0.932813558,0.977399152,EloA,FBgn0039066
CG32276,0.013217592,7.369073149,0.932844703,0.977399152,CG32276,FBgn0047135
spn-A,0.039538656,3.386532142,0.932885902,0.977399152,spn-A,FBgn0003479
Ing3,-0.02071985,4.455221653,0.932940845,0.977399152,Ing3,FBgn0030945
CG2201,0.013716876,7.851649152,0.933081001,0.977399152,CG2201,FBgn0032955
Oseg3,-0.015573306,6.754356611,0.933148106,0.977399152,rempA,FBgn0260933
Gos28,0.025810772,4.5253813,0.933148958,0.977399152,Gos28,FBgn0044871
Grd,-0.041553384,2.536312912,0.933577849,0.977735021,Grd,FBgn0001134
e-y-3,0.012303618,7.250451623,0.934804596,0.978906308,e(y)3,FBgn0087008
Mlh1,-0.058477523,2.342796731,0.935093354,0.979095197,Mlh1,FBgn0011659
CG32368,-0.021819702,4.557506097,0.935356905,0.979257652,CG32368,FBgn0052368
CG5589,0.047706953,2.600980324,0.935573351,0.979265335,CG5589,FBgn0036754
CG8405,-0.012749972,6.777482235,0.935581039,0.979265335,CG8405,FBgn0034071
CG7713,-0.037373721,3.710507871,0.935829154,0.979411559,CG7713,FBgn0038545
CG32436,0.095147127,1.183796939,0.936353473,0.979846783,CG32436,FBgn0052436
pzg,0.013900185,6.686479275,0.936599498,0.979990719,pzg,FBgn0259785
d4,-0.015484674,5.529875443,0.936949244,0.980243135,d4,FBgn0033015
CG9153,-0.011895555,7.237508339,0.937421588,0.980623741,CG9153,FBgn0035207
mRpL22,-0.014504312,4.557552708,0.937907999,0.980984397,mRpL22,FBgn0030786
CG12885,0.012542586,7.539656851,0.938011985,0.980984397,CG12885,FBgn0039523
Klp10A,-0.013661392,6.233936273,0.93809212,0.980984397,Klp10A,FBgn0030268
CG7375,0.017495097,5.567062135,0.938203612,0.980987434,UbcE2M,FBgn0035853
Ugt36Bb,-0.111303088,1.186867833,0.938317701,0.980993185,Ugt36Bb,FBgn0040261
CG8202,0.025341557,4.479125519,0.938506907,0.981077459,CG8202,FBgn0037622
SIP1,0.040389657,3.345137377,0.938779166,0.981248523,HSPC300,FBgn0061198
CG3337,-0.018790398,4.171262619,0.939099831,0.981470138,CG3337,FBgn0038871
veli,0.017980951,5.01479315,0.939212534,0.981474382,veli,FBgn0039269
ptc,-0.02977272,4.362883022,0.939432881,0.981588213,ptc,FBgn0003892
CG4407,-0.013742741,5.745363154,0.939652743,0.981588213,CG4407,FBgn0030431
nxf2,0.046339836,1.437854179,0.939713456,0.981588213,nxf2,FBgn0036640
CG9249,0.030053359,3.940860014,0.939939614,0.981588213,CG9249,FBgn0032922
CG11377,-0.020735009,5.410002028,0.939951112,0.981588213,CG11377,FBgn0031217
CG5757,-0.03275389,2.662760802,0.940188723,0.981588213,CG5757,FBgn0034299
CG7745,0.037993291,3.506853223,0.940271677,0.981588213,CG7745,FBgn0033616
Madm,0.012867254,5.939668914,0.9402812,0.981588213,Madm,FBgn0027497
mia,-0.050442548,2.595750495,0.940299357,0.981588213,mia,FBgn0014342
CG2025,-0.021421668,5.296152443,0.940656355,0.981839457,CG2025,FBgn0030344
CG11396,0.017220596,5.193328663,0.940757398,0.981839457,CG11396,FBgn0037022
CG12883,0.022093032,3.473470588,0.94109137,0.982074557,CG12883,FBgn0039538
CG10268,0.037604521,4.200046676,0.94134349,0.982166537,CG10268,FBgn0032811
CG18731,0.025309196,4.191372983,0.941396949,0.982166537,CG18731,FBgn0042213
aur,-0.06561912,2.622406071,0.941593608,0.982258275,aur,FBgn0000147
CG7280,-0.031918707,3.660620018,0.941824747,0.982385956,CG7280,FBgn0030966
CG31048,-0.010559158,6.342923655,0.942049744,0.9824204,spg,FBgn0264324
Pde8,0.013613609,7.553959605,0.942234151,0.9824204,Pde8,FBgn0266377
CG13995,-0.012572811,5.347003662,0.942273158,0.9824204,CG13995,FBgn0031770
CG13551,0.011878974,7.218143454,0.942347667,0.9824204,CG13551,FBgn0040660
CG32069,0.042998275,2.799543633,0.942401504,0.9824204,CG32069,FBgn0052069
CG8192,-0.084684291,1.325365762,0.9426335,0.982445282,CG8192,FBgn0034030
CG5569,-0.028935152,3.972778805,0.942642872,0.982445282,CG5569,FBgn0034919
CG7275,0.031188792,4.135790588,0.942982767,0.98268616,CG7275,FBgn0036500
CG14749,0.0143828,4.839110394,0.943429932,0.983038754,CG14749,FBgn0033316
CG9317,0.092316446,1.438165038,0.943991605,0.98351057,CG9317,FBgn0032879
beat-IIIa,-0.029901042,2.554003524,0.944480185,0.983844328,beat-IIIa,FBgn0265607
CG4930,0.017271684,6.007752271,0.944529761,0.983844328,EndoGI,FBgn0028515
rux,-0.027597447,3.647012617,0.944941207,0.984159426,rux,FBgn0003302
rno,-0.010098415,6.445416693,0.945112038,0.984223879,rno,FBgn0035106
CG8683,-0.01076057,7.368904603,0.945292759,0.984298615,mon2,FBgn0031985
CG8388,0.027345357,4.030082371,0.945632708,0.984345001,CG8388,FBgn0034062
upd2,0.049236141,1.011463873,0.945657364,0.984345001,upd2,FBgn0030904
Ngp,0.010781967,5.230314042,0.945664187,0.984345001,Ns2,FBgn0034243
l-1-1Bi,0.033198724,3.715437714,0.946089976,0.984428903,l(1)1Bi,FBgn0001341
CG11777,0.032160404,2.792606608,0.946159842,0.984428903,CG11777,FBgn0033527
Tob,-0.011374292,5.449422469,0.946199797,0.984428903,Tob,FBgn0028397
CG7747,-0.017203678,3.785784888,0.946343612,0.984428903,CG7747,FBgn0034109
CG4973,0.030564054,2.848470809,0.946374569,0.984428903,mdlc,FBgn0038772
ncm,-0.013503481,5.454022214,0.946598958,0.984428903,ncm,FBgn0086707
WASp,-0.012179418,5.185936945,0.946699785,0.984428903,WASp,FBgn0024273
Spn6,-0.012611114,4.909583587,0.946802496,0.984428903,Spn55B,FBgn0028983
Tfb2,-0.02073927,3.731978442,0.946892169,0.984428903,mrn,FBgn0261109
Rad17,0.030635883,2.975313265,0.947005121,0.984428903,Rad17,FBgn0025808
CG16799,0.01739731,5.014361245,0.947011597,0.984428903,CG16799,FBgn0034538
CG31251,0.077274318,1.518150167,0.947053311,0.984428903,CG31251,FBgn0051251
CG6133,0.014620725,4.586992107,0.947161393,0.984428903,Nsun2,FBgn0026079
CG1885,-0.012488538,4.389099612,0.947329917,0.984490794,CG1885,FBgn0030066
