Symbol,log2FC,log2RPM,p-value,FDR,Current Symbol,Current FBgn
CG14585,-8.532624365,6.216609681,1.4962E-171,1.3517E-167,Ir75a,FBgn0036757
CG32704,-7.201229225,6.648987991,5.831E-154,2.6339E-150,Ir8a,FBgn0052704
CG10050,-6.10662361,6.775027225,7.2846E-144,2.1936E-140,CG10050,FBgn0037492
CG6499,-5.307973065,8.859505796,9.4764E-139,2.1402E-135,CG6499,FBgn0038309
CG10633,-6.976822076,5.735541866,3.7295E-135,6.7385E-132,Ir64a,FBgn0035604
CG14586,-6.482107909,5.965279793,1.2616E-128,1.8995E-125,"Ir75b , Ir75c","FBgn0261402 , FBgn0261401"
CG10357,-5.920456361,8.373140201,9.1426E-109,1.1799E-105,CG10357,FBgn0035453
Pbprp4,-7.013217889,8.461196977,1.7722E-104,2.0013E-101,Obp84a,FBgn0011282
ppk25,-6.970836369,5.396534232,1.04669E-97,1.05064E-94,ppk25,FBgn0053349
CG18516,-7.554518993,8.551009918,7.57891E-97,6.84679E-94,CG18516,FBgn0038350
Obp59a,-8.020472535,9.517531826,8.50104E-97,6.98167E-94,Obp59a,FBgn0034766
Cyp6a17,-5.582402852,5.602807993,4.15751E-93,3.12991E-90,Cyp6a17,FBgn0015714
Cyp4e3,5.235080561,6.861984142,1.21465E-91,8.44086E-89,Cyp4e3,FBgn0015035
CG14274,-4.584441234,5.772642917,1.28953E-89,8.32118E-87,CG14274,FBgn0032023
IM14,7.261763505,4.679994119,7.4814E-76,4.5058E-73,IM14,FBgn0067905
Cyp6g2,-4.261203755,7.398463394,1.11087E-74,6.27224E-72,Cyp6g2,FBgn0033696
a5,-7.147684046,9.642776121,9.42527E-72,5.0087E-69,a5,FBgn0011294
Cyp6a8,5.049490205,9.613834458,1.06959E-70,5.27377E-68,Cyp6a8,FBgn0013772
CG10936,-3.806249178,5.560221629,1.10916E-70,5.27377E-68,CG10936,FBgn0034253
CG13133,-6.269493169,5.687263844,4.56574E-66,2.06234E-63,CG13133,FBgn0032181
a10,-7.588615922,12.41111344,1.2142E-63,5.22338E-61,a10,FBgn0011293
Os-C,-7.644013823,12.26203223,1.52766E-63,6.27314E-61,Os-C,FBgn0010401
CG4288,-2.813669796,9.211750987,5.31291E-62,2.08682E-59,CG4288,FBgn0038799
CG32444,3.287497615,7.900293783,1.17514E-60,4.42341E-58,CG32444,FBgn0043783
Spn43Ab,3.623932977,6.533198059,4.62474E-59,1.6712E-56,Spn43Ab,FBgn0024293
CG13950,-6.608994247,5.361411424,4.87066E-59,1.69237E-56,CG13950,FBgn0031289
ea,5.333860355,4.967110913,7.31787E-58,2.44851E-55,ea,FBgn0000533
Or35a,-6.121117903,4.240012916,1.19458E-53,3.85422E-51,Or35a,FBgn0028946
smp-30,3.054305016,6.406771013,1.92647E-53,6.00128E-51,smp-30,FBgn0038257
CG14142,-6.456592196,6.071098125,5.12109E-53,1.54213E-50,CG14142,FBgn0036143
Cyp4d21,-3.955668349,7.689206367,3.30754E-52,9.63882E-50,Cyp4d21,FBgn0031925
CG13285,-4.355547704,5.478550202,1.85288E-51,5.23091E-49,CG13285,FBgn0035611
CG7385,-2.441966289,7.447932981,2.21452E-51,6.06243E-49,Ir76b,FBgn0036937
CG30259,-10.33160449,3.839475484,3.95043E-51,1.04965E-48,CG30259,FBgn0050259
CG31704,6.04453912,4.032379245,8.98311E-51,2.31867E-48,CG31704,FBgn0051704
CG10185,-6.29959225,7.717988319,1.2439E-50,3.12151E-48,CG10185,FBgn0038397
fz3,-2.607732397,6.289048006,3.20509E-50,7.82563E-48,fz3,FBgn0027343
ZnT35C,-10.24974764,3.761063301,8.913E-49,2.11895E-46,ZnT35C,FBgn0028516
CG5065,-2.767084433,6.390861411,3.67339E-48,8.50907E-46,CG5065,FBgn0034145
Cyp6a14,6.703674758,4.518539678,7.89568E-47,1.78324E-44,Cyp6a14,FBgn0033302
Cyp6g1,2.636212232,11.61786797,1.16662E-46,2.57054E-44,Cyp6g1,FBgn0025454
CG32581,4.537225364,4.25104895,7.53718E-46,1.62121E-43,CG32581,FBgn0052581
Dat,-2.735859247,6.268929534,2.2929E-45,4.81722E-43,Dat,FBgn0019643
CG10101,-10.2234986,3.735410496,1.40092E-44,2.87633E-42,Ir84a,FBgn0037501
CG33159,-2.425693721,6.073979044,1.10568E-43,2.21971E-41,CG33159,FBgn0053159
CG31216,-3.479148582,6.869007856,5.88971E-43,1.15027E-40,Naam,FBgn0051216
IM1,4.393918374,5.619778417,5.98435E-43,1.15027E-40,IM1,FBgn0034329
5-HT2,-4.134589608,4.451067859,1.32135E-42,2.4869E-40,5-HT2A,FBgn0087012
CG14400,4.746077601,4.016982902,1.26604E-41,2.33417E-39,CG14400,FBgn0032896
IM23,3.979426695,4.895020191,2.01662E-41,3.64363E-39,IM23,FBgn0034328
CG11841,3.590763104,5.607812661,5.82594E-41,1.03199E-38,CG11841,FBgn0039628
CG9492,-6.872738748,6.715385532,8.95482E-41,1.55573E-38,CG9492,FBgn0037726
Dro,5.284509359,6.4861848,1.25733E-40,2.14316E-38,Dro,FBgn0010388
GstE1,2.47283023,6.335194904,7.17095E-40,1.19967E-37,GstE1,FBgn0034335
CG17386,-3.195012918,5.087559986,2.58193E-39,4.24094E-37,CG17386,FBgn0033936
CG33110,3.199868806,7.504928686,2.24688E-38,3.6247E-36,CG33110,FBgn0053110
CG13636,-3.742961774,5.13331669,1.47468E-37,2.33724E-35,sosie,FBgn0039232
CG17544,-2.126314188,7.783820401,4.6585E-37,7.25601E-35,CG17544,FBgn0032775
Cyp6a9,2.163177958,5.93915467,6.75261E-37,1.03395E-34,Cyp6a9,FBgn0013771
CG34456,-9.835416694,3.3652523,8.59286E-37,1.2938E-34,CG34456,FBgn0085485
glob1,2.293977798,6.223016518,1.09715E-36,1.62486E-34,glob1,FBgn0027657
CG13856,2.973072578,6.672554808,1.39801E-35,2.03704E-33,CG13856,FBgn0038959
CG5559,-3.584890925,4.722086159,1.51627E-35,2.17429E-33,Sytalpha,FBgn0261089
CG2657,-5.398953116,3.833322732,9.2492E-35,1.30558E-32,Ir21a,FBgn0031209
toy,-5.681265946,3.661896542,9.59099E-35,1.333E-32,toy,FBgn0019650
CG42333,-4.262269728,4.048593951,1.02802E-34,1.40714E-32,Sytbeta,FBgn0261090
Cyp313a4,-4.341336323,4.47891617,2.80503E-34,3.78219E-32,Cyp313a4,FBgn0038076
Ndae1,-2.298755681,7.956918215,7.87261E-33,1.0459E-30,Ndae1,FBgn0259111
Ugt35a,-2.060420014,6.4991709,8.39661E-33,1.08483E-30,Ugt35a,FBgn0026315
CG7722,1.944783339,7.071147729,8.40582E-33,1.08483E-30,Spn47C,FBgn0033574
iav,-6.097200328,4.334207717,2.82155E-32,3.59013E-30,iav,FBgn0086693
CG16857,-1.946664661,6.901395601,8.35361E-32,1.04815E-29,CG16857,FBgn0028482
CG14445,-5.243233418,7.01761414,9.3278E-32,1.15435E-29,CG14445,FBgn0029851
CG11453,2.731625803,5.592078864,5.47666E-31,6.68596E-29,CG11453,FBgn0038734
CG12512,2.881155157,4.905603233,1.4716E-30,1.77259E-28,CG12512,FBgn0031703
AQP,3.785838252,4.267889968,2.02383E-30,2.4057E-28,AQP,FBgn0033807
Hn,2.495636574,6.923569892,2.59916E-30,3.04946E-28,Hn,FBgn0001208
CG17107,2.026547678,6.77869811,2.64016E-30,3.05785E-28,CG17107,FBgn0032281
Cpr47Ee,3.556556648,4.607470515,1.34639E-29,1.53966E-27,Cpr47Ee,FBgn0033602
orb2,-2.059486147,6.66309899,1.4281E-29,1.61268E-27,orb2,FBgn0264307
Obp56a,3.333331463,5.005255023,2.09175E-29,2.33294E-27,Obp56a,FBgn0034468
CG9436,1.980596566,6.37849401,3.57098E-28,3.93418E-26,CG9436,FBgn0033101
mthl5,2.233231949,5.093481531,2.24457E-27,2.44307E-25,mthl5,FBgn0037960
MtnA,-2.195142605,7.82987173,2.57917E-27,2.77383E-25,MtnA,FBgn0002868
Drip,1.81686951,8.059496127,7.71735E-27,8.20218E-25,Drip,FBgn0015872
CG13318,-2.662170839,6.92150525,8.87499E-27,9.32287E-25,CG13318,FBgn0037627
CG11893,3.235050274,4.424232947,5.05437E-26,5.24841E-24,CG11893,FBgn0039316
Tig,4.147090227,5.650722594,9.01711E-26,9.25688E-24,Tig,FBgn0011722
CG7255,3.244447209,4.039754252,9.32802E-26,9.38438E-24,CG7255,FBgn0036493
CG7300,7.587719724,5.377808792,9.34906E-26,9.38438E-24,CG7300,FBgn0032286
CG14394,1.734940289,6.615841671,1.33985E-25,1.33013E-23,NijC,FBgn0038079
CG13203,-4.724234965,3.204698128,1.35638E-25,1.3319E-23,CG13203,FBgn0033628
CG15685,-6.467234408,2.817128838,2.07662E-25,2.01722E-23,Ir92a,FBgn0038789
CG42352,-1.944811688,5.447895797,3.09562E-25,2.97509E-23,Ir40a,FBgn0259683
Pop2,-1.704873961,7.751252106,3.3428E-25,3.17883E-23,Pop2,FBgn0036239
CG10200,6.384942703,3.990689693,3.68847E-25,3.47101E-23,hui,FBgn0033968
CG8654,1.739084402,6.136703634,3.80398E-25,3.5428E-23,CG8654,FBgn0034479
Obp58b,-9.015148936,2.594105976,7.19047E-25,6.62844E-23,Obp58b,FBgn0034768
CG17264,2.74784134,4.375377827,8.81704E-25,8.04577E-23,CG17264,FBgn0031490
Nmdmc,2.221862167,5.682720928,1.06629E-24,9.63289E-23,Nmdmc,FBgn0010222
CG2157,2.74827552,7.172541945,4.94944E-24,4.42706E-22,CG2157,FBgn0030244
IM2,5.307955474,4.663829368,6.51095E-24,5.76666E-22,IM2,FBgn0025583
tum,-5.004267028,3.227344117,6.68861E-24,5.86649E-22,tum,FBgn0086356
CG18130,-5.67756238,3.677900499,1.16944E-23,1.01584E-21,CG18130,FBgn0030359
CG11852,-4.269878546,5.133544325,1.1914E-23,1.02506E-21,CG11852,FBgn0039297
ade3,1.74062355,6.127797513,1.43373E-23,1.22191E-21,ade3,FBgn0000053
CG12001,2.183961407,4.864363343,1.72384E-23,1.45544E-21,spartin,FBgn0037265
CG4302,1.801579353,7.511283046,1.7487E-23,1.46275E-21,CG4302,FBgn0027073
Obp56d,1.816858549,11.81017225,2.97614E-23,2.46665E-21,Obp56d,FBgn0034470
Or9a,1.613242172,7.000458165,5.7605E-23,4.73094E-21,Or9a,FBgn0030204
Obp83cd,-6.430418509,2.794712909,6.20659E-23,5.05138E-21,Obp83cd,FBgn0046878
AttC,7.817305322,5.416818355,6.68532E-23,5.39242E-21,AttC,FBgn0041579
CG31100,-1.57223375,6.11252812,1.1866E-22,9.48652E-21,CG31100,FBgn0051100
CG3552,-3.230654916,4.499845506,1.4376E-22,1.13923E-20,CG3552,FBgn0035999
CG13758,-3.011165141,4.211902754,1.71512E-22,1.34734E-20,Pdfr,FBgn0260753
AttB,4.26396772,5.195781472,4.12654E-22,3.21372E-20,AttB,FBgn0041581
CG5910,-3.707891785,4.338718087,4.48413E-22,3.46236E-20,CG5910,FBgn0036993
CG14934,3.089053953,5.816310916,5.31401E-22,4.06837E-20,Mal-B1,FBgn0032381
unc-4,-2.591573785,4.246448851,9.16457E-22,6.95737E-20,unc-4,FBgn0024184
CG9447,2.077802455,7.234525402,2.94109E-21,2.21415E-19,CG9447,FBgn0033110
CG11155,-2.010964889,7.034981692,4.49705E-21,3.35755E-19,CG11155,FBgn0039927
CG4250,2.330806189,4.594273199,9.97632E-21,7.38739E-19,CG4250,FBgn0034761
Zip3,2.996202005,4.353094948,1.66674E-20,1.22417E-18,Zip89B,FBgn0038412
CG5687,-1.916716167,8.066340739,1.89152E-20,1.37807E-18,CG5687,FBgn0035293
esn,-2.184573316,4.875391427,2.09912E-20,1.51708E-18,esn,FBgn0263934
CG4839,-8.539479211,2.158349673,2.84703E-20,2.04127E-18,CG4839,FBgn0032187
CG7742,-6.134051594,3.368223301,4.82816E-20,3.4168E-18,CG7742,FBgn0031690
CG7342,1.734268813,9.992933648,4.84116E-20,3.4168E-18,CG7342,FBgn0038716
CG14567,2.813933907,3.776147179,6.72334E-20,4.70843E-18,CG14567,FBgn0037126
CG6461,1.505782461,7.681671246,8.6806E-20,6.03235E-18,Ggt-1,FBgn0030932
CG7966,1.959744383,5.688326559,9.31496E-20,6.42377E-18,CG7966,FBgn0038115
wb,-1.538846253,5.93670147,1.86517E-19,1.27651E-17,wb,FBgn0261563
Or85a,-2.558757181,4.323281018,2.2155E-19,1.50488E-17,Or85a,FBgn0037576
igl,-1.410610387,8.545186741,2.25752E-19,1.52197E-17,igl,FBgn0013467
TepII,2.115166374,6.703350881,2.40179E-19,1.60724E-17,Tep2,FBgn0041182
Tsp47F,-1.463206327,7.022408581,2.80403E-19,1.86262E-17,Tsp47F,FBgn0033629
Obp44a,-4.114762247,3.786410193,4.85571E-19,3.20193E-17,Obp44a,FBgn0033268
Obp19a,1.602782301,12.72901534,5.16146E-19,3.37889E-17,Obp19a,FBgn0031109
Def,4.376337354,3.582055438,5.53785E-19,3.5992E-17,Def,FBgn0010385
UGP,1.505846454,7.875514673,5.83121E-19,3.76279E-17,UGP,FBgn0035978
CG14687,-1.738022134,6.808208315,6.61124E-19,4.23588E-17,CG14687,FBgn0037835
Dhc16F,-6.431508171,2.782721853,9.84635E-19,6.26422E-17,Dhc16F,FBgn0013809
CG15203,-2.571547924,5.52312939,1.55906E-18,9.84935E-17,CG15203,FBgn0030261
CG6652,-1.964453106,4.786029782,1.71415E-18,1.07539E-16,CG6652,FBgn0036687
CG6484,-2.081744469,4.775644353,1.74117E-18,1.08481E-16,CG6484,FBgn0034247
CG3604,-3.520189399,3.416155021,2.21108E-18,1.36815E-16,CG3604,FBgn0031562
CG18208,-2.978568232,3.626217929,2.43914E-18,1.49899E-16,CG18208,FBgn0038653
CG30438,-1.596936633,6.661047344,2.99055E-18,1.82545E-16,CG30438,FBgn0050438
Gasp,-2.220428439,4.62820876,3.8304E-18,2.32241E-16,Gasp,FBgn0026077
CG6675,2.092871665,5.02413357,3.99016E-18,2.40314E-16,CG6675,FBgn0032973
CG17150,-7.165304947,2.706733129,4.59559E-18,2.74944E-16,CG17150,FBgn0035581
CG10553,1.43057885,8.543718741,4.8332E-18,2.87257E-16,CG10553,FBgn0039324
GlcAT-S,-1.405191734,7.315933971,5.22344E-18,3.08422E-16,GlcAT-S,FBgn0032135
CG33926,3.018747904,3.405744157,5.529E-18,3.24344E-16,CG33926,FBgn0053926
CG9649,1.534377167,5.936460434,7.33796E-18,4.27685E-16,CG9649,FBgn0038211
ine,-1.677915793,5.823765755,7.64903E-18,4.42958E-16,ine,FBgn0011603
CG42326,-2.996966904,4.385040037,1.24684E-17,7.17446E-16,CG42326,FBgn0259226
nan,-6.042865702,2.4415453,1.54148E-17,8.81377E-16,nan,FBgn0036414
CG3091,1.374959737,7.014124848,1.81359E-17,1.03044E-15,CG3091,FBgn0029608
fd96Cb,-2.882311522,3.501195043,1.84755E-17,1.04317E-15,fd96Cb,FBgn0004898
CG1227,-2.187269999,4.762818247,1.99569E-17,1.11982E-15,CG1227,FBgn0037491
alpha-Est7,1.754945559,6.533152321,2.10968E-17,1.17647E-15,alpha-Est7,FBgn0015575
Rh50,-2.788233204,4.473389234,4.17188E-17,2.31219E-15,Rh50,FBgn0028699
CG31189,1.721386831,4.868303958,4.24718E-17,2.33958E-15,CG31189,FBgn0051189
CG14694,1.432655875,5.608634995,6.36459E-17,3.48471E-15,CG14694,FBgn0037845
CG3009,-3.569649657,3.572017597,6.40443E-17,3.4854E-15,CG3009,FBgn0029720
CG13842,-5.694343418,2.558888189,6.5309E-17,3.53294E-15,CG13842,FBgn0039009
Mkk4,-1.367634103,6.202977499,6.59344E-17,3.54555E-15,Mkk4,FBgn0024326
CG13077,1.719709736,5.841542612,7.95131E-17,4.25042E-15,CG13077,FBgn0032810
Syt7,-1.391704054,5.885332814,9.66402E-17,5.13557E-15,Syt7,FBgn0039900
Su-var-3-7,1.349387111,5.983171699,1.05194E-16,5.55745E-15,Su(var)3-7,FBgn0003598
CG6053,-5.550924693,2.767028711,1.18991E-16,6.2498E-15,CG6053,FBgn0036195
CG13594,-4.439170661,2.942581209,1.46543E-16,7.65242E-15,CG13594,FBgn0035041
Cyp9b1,-1.515971787,6.179668528,1.5379E-16,7.98469E-15,Cyp9b1,FBgn0015038
CG5254,1.931745791,4.630412178,2.16836E-16,1.11937E-14,CG5254,FBgn0040383
CG7724,1.636037058,8.212741857,2.44817E-16,1.25663E-14,CG7724,FBgn0036698
CG40354,5.565777898,2.817912143,3.62947E-16,1.85246E-14,CR40354,FBgn0058354
RpS7,1.385737479,10.20026938,4.79164E-16,2.43189E-14,RpS7,FBgn0039757
CG7196,-3.423819485,3.49716041,5.57778E-16,2.81507E-14,CG7196,FBgn0031944
CG3078,-1.502241233,5.519947707,7.55224E-16,3.79039E-14,CG3078,FBgn0023524
CG42329,3.282557858,5.473633315,1.20282E-15,6.00347E-14,CG42329,FBgn0259229
CG14085,-5.815448758,2.713489023,1.31398E-15,6.52223E-14,CG14085,FBgn0036859
CG31291,-1.80419894,5.172673008,1.58992E-15,7.8488E-14,CG45105,FBgn0266566
CG11425,1.928356654,5.960647398,1.60639E-15,7.88704E-14,CG11425,FBgn0037167
Drs,4.177015611,3.250399696,1.86923E-15,9.12792E-14,Drs,FBgn0010381
CG31326,1.602491944,5.51757338,1.98771E-15,9.65431E-14,CG31326,FBgn0051326
dro5,1.417745682,11.54515644,2.1241E-15,1.02616E-13,Drsl5,FBgn0035434
Dhc98D,-6.28712053,1.911433676,2.16569E-15,1.04068E-13,Dhc98D,FBgn0013813
CG5958,-3.766993402,5.288174599,2.23131E-15,1.06654E-13,CG5958,FBgn0031913
CG13743,-3.855924517,2.655564852,2.27145E-15,1.08001E-13,CG13743,FBgn0033368
CG32512,3.690317355,4.011570754,2.32356E-15,1.09901E-13,CG32512,FBgn0052512
SPE,1.395959786,7.287340131,2.39753E-15,1.12809E-13,SPE,FBgn0039102
Obp83ef,-5.063603444,4.682168286,2.62667E-15,1.2295E-13,Obp83ef,FBgn0046876
CG14185,-5.690322977,2.12232051,2.67039E-15,1.24352E-13,CG14185,FBgn0036936
CG1544,5.512141193,2.083256369,3.85648E-15,1.78664E-13,CG1544,FBgn0039827
AttA,3.667932303,4.904308232,3.97722E-15,1.83317E-13,AttA,FBgn0012042
CG11041,-8.424264183,2.056364357,4.3111E-15,1.97698E-13,CG11041,FBgn0034481
CG7470,5.218897711,4.665011201,5.07315E-15,2.31469E-13,CG7470,FBgn0037146
pdm2,-7.96898783,1.647415912,6.75962E-15,3.06866E-13,pdm2,FBgn0004394
Baldspot,-1.256228653,9.246638906,6.87488E-15,3.10539E-13,Baldspot,FBgn0260960
CG8533,-2.484807046,4.324098771,7.37671E-15,3.31548E-13,Ir76a,FBgn0260874
CG9527,1.316465299,5.778018361,7.61664E-15,3.40637E-13,CG9527,FBgn0031813
CG30485,-6.56104207,2.153710875,1.3288E-14,5.88866E-13,CG30485,FBgn0050485
CG15878,-5.884950387,2.26654288,1.32974E-14,5.88866E-13,CG15878,FBgn0035316
CG30269,2.411312628,3.637486582,1.57715E-14,6.95024E-13,CG30269,FBgn0050269
CG5002,1.381755504,5.423889001,1.91049E-14,8.37831E-13,CG5002,FBgn0034275
Zw,1.463328629,8.752900726,2.09405E-14,9.13897E-13,Zw,FBgn0004057
Frq1,-1.803990933,4.936256645,2.23049E-14,9.68762E-13,Frq1,FBgn0030897
CG13699,-8.596836318,2.215453235,2.2536E-14,9.74116E-13,CG13699,FBgn0036781
CG30285,-1.307020029,5.88978729,3.0492E-14,1.31174E-12,CG30285,FBgn0050285
Scp2,-6.429238155,2.054494407,3.27502E-14,1.40221E-12,Scp2,FBgn0020907
CG9080,2.852796474,6.261815344,3.39326E-14,1.44598E-12,Listericin,FBgn0033593
CG3349,-4.598305239,2.274492736,4.32803E-14,1.83565E-12,CG3349,FBgn0036459
Irk2,-1.779544161,4.973732951,5.32789E-14,2.24917E-12,Irk2,FBgn0039081
Or22b,1.266150652,7.131232863,5.65875E-14,2.37773E-12,Or22b,FBgn0026397
fd96Ca,-2.943384828,3.060788562,5.81028E-14,2.4301E-12,fd96Ca,FBgn0004897
p24-2,-7.863979211,1.5563115,5.87778E-14,2.447E-12,p24-2,FBgn0053105
CG15923,-1.688239001,4.917301309,6.92377E-14,2.86924E-12,CG15923,FBgn0038814
AttD,7.735715636,1.302741627,7.52951E-14,3.10601E-12,AttD,FBgn0038530
CG5535,-2.067599554,4.784632529,7.93572E-14,3.2587E-12,CG5535,FBgn0036764
UK114,5.150866914,2.063519389,7.98006E-14,3.26208E-12,UK114,FBgn0086691
CG14259,1.190650257,6.58676955,1.02691E-13,4.17886E-12,CG14259,FBgn0039483
Mgstl,1.125542757,8.488659912,1.17497E-13,4.75994E-12,Mgstl,FBgn0025814
TepIII,1.143640832,6.292938446,1.22164E-13,4.92691E-12,Tep3,FBgn0041181
Dad,-1.185044977,6.949730148,1.25939E-13,5.0566E-12,Dad,FBgn0020493
CG14191,4.916096603,3.412893963,1.29845E-13,5.19036E-12,CG14191,FBgn0030981
CG7402,1.131118037,7.318441489,1.31743E-13,5.24302E-12,CG7402,FBgn0036768
Hs3st-A,-1.178255044,6.414865487,1.37173E-13,5.43517E-12,Hs3st-A,FBgn0053147
nimB2,3.829660669,4.428226324,1.48609E-13,5.8626E-12,NimB2,FBgn0028543
Cyp6v1,1.169528637,6.081545614,1.59587E-13,6.2683E-12,Cyp6v1,FBgn0031126
CG32238,-7.843982556,1.540370756,1.69579E-13,6.63195E-12,CG32238,FBgn0052238
IM4,3.131595438,7.59290128,1.76778E-13,6.88349E-12,IM4,FBgn0040653
CG14342,-7.815839296,1.515000944,1.77535E-13,6.88349E-12,CG14342,FBgn0031324
Tektin-C,-4.646897742,2.925261584,2.13524E-13,8.24349E-12,Tektin-C,FBgn0035638
CG18228,-2.019337093,4.354551308,2.26985E-13,8.72589E-12,CR18228,FBgn0037560
CG4096,-1.144674628,6.738702963,2.33933E-13,8.95486E-12,CG4096,FBgn0029791
t,-1.362680759,5.88531726,2.50973E-13,9.56662E-12,t,FBgn0086367
CG8546,3.130012389,3.826055494,2.56653E-13,9.74205E-12,ppk26,FBgn0035785
Or43b,1.257617269,7.277288695,2.59889E-13,9.82358E-12,Or43b,FBgn0026393
CG12483,-2.868613015,5.178351894,2.91676E-13,1.09792E-11,CG12483,FBgn0040688
Mec2,-1.623135149,5.022938876,2.99271E-13,1.12183E-11,Mec2,FBgn0030993
CG1600,-1.221263249,8.106588804,3.09666E-13,1.156E-11,Drat,FBgn0033188
nompA,-1.81161582,4.487099443,3.54512E-13,1.31797E-11,nompA,FBgn0016047
CG3168,-2.061655122,5.938571908,3.59633E-13,1.33153E-11,CG3168,FBgn0029896
cher,1.581491935,6.814535326,3.79676E-13,1.4E-11,cher,FBgn0014141
Tal,1.174286825,8.491682365,3.92701E-13,1.44214E-11,Tal,FBgn0023477
tsl,1.709569421,4.736922481,4.04136E-13,1.47398E-11,tsl,FBgn0003867
CG15093,1.349324921,5.220614568,4.04634E-13,1.47398E-11,CG15093,FBgn0034390
MP1,1.133227371,5.757215258,4.10498E-13,1.48933E-11,MP1,FBgn0027930
run,-4.253125186,2.538622439,4.16156E-13,1.50382E-11,run,FBgn0003300
Cyp6d5,1.529598004,8.38394238,4.1815E-13,1.50501E-11,Cyp6d5,FBgn0038194
CR32078,-1.234444256,6.103728026,4.981E-13,1.78565E-11,CG42575,FBgn0260795
CG9701,2.213406598,5.379908698,5.10955E-13,1.82449E-11,CG9701,FBgn0036659
CG15143,-8.338677296,1.980004611,5.6033E-13,1.99292E-11,CG15143,FBgn0032647
Idh,1.149009727,9.998175194,5.89636E-13,2.08893E-11,Idh,FBgn0001248
CG1143,2.200560474,5.568022994,6.16774E-13,2.17654E-11,CG1143,FBgn0035359
repo,-1.899864912,4.390305453,6.64901E-13,2.33724E-11,repo,FBgn0011701
Osi3,3.200928376,3.369959842,9.57548E-13,3.3404E-11,Osi3,FBgn0037411
CG32432,-1.541065278,5.261798294,9.57675E-13,3.3404E-11,CG32432,FBgn0052432
CG12836,-5.387653917,2.29062724,1.05314E-12,3.65927E-11,CG12836,FBgn0033140
PGRP-SB1,8.089492064,4.545581388,1.2613E-12,4.36575E-11,PGRP-SB1,FBgn0043578
CG5130,-2.48084939,3.462679696,1.30318E-12,4.49349E-11,ZnT77C,FBgn0037000
cpx,-1.195501042,9.389169913,1.40048E-12,4.80437E-11,cpx,FBgn0041605
CG9498,1.608359198,9.877672507,1.40398E-12,4.80437E-11,CG9498,FBgn0031801
CG17687,-7.775753021,1.483377715,1.45909E-12,4.97412E-11,CG17687,FBgn0036348
ninaB,1.16489577,6.340917582,1.54572E-12,5.24965E-11,ninaB,FBgn0002937
CG10992,1.177933981,8.415313123,1.71511E-12,5.8031E-11,CtsB1,FBgn0030521
Cyp4d20,1.133208497,8.112503419,2.27068E-12,7.65423E-11,Cyp4d20,FBgn0035344
CG4078,1.631048024,4.553427073,2.32034E-12,7.79255E-11,CG4078,FBgn0029798
pncr009-3L,-2.922202401,2.974198244,2.42327E-12,8.10807E-11,pncr009:3L,FBgn0062928
CG17698,-1.103272266,6.569476165,2.47928E-12,8.26489E-11,CG17698,FBgn0040056
roX1,-1.853143168,8.190378821,2.50673E-12,8.32566E-11,roX1,FBgn0019661
CG5597,1.494465214,4.830272651,2.63857E-12,8.73145E-11,CG5597,FBgn0034920
CG17279,-2.461181255,4.805756175,2.81113E-12,9.26852E-11,CG17279,FBgn0038850
NLaz,1.322006802,9.465748028,2.85425E-12,9.37648E-11,NLaz,FBgn0053126
CG14076,-7.598311363,1.327146598,3.14718E-12,1.03013E-10,Ir75d,FBgn0036829
CG5404,-3.349168474,2.88620136,3.24327E-12,1.05409E-10,CG5404,FBgn0038354
CG32397,-1.79525501,4.547497132,3.24372E-12,1.05409E-10,jv,FBgn0263973
CG15144,-7.732747903,1.444204163,3.61061E-12,1.16911E-10,CG15144,FBgn0032648
GM130,1.069834389,5.779676456,4.22793E-12,1.36411E-10,GM130,FBgn0034697
nrv3,-1.357847475,8.768862289,4.32474E-12,1.39038E-10,nrv3,FBgn0032946
Prx6005,-1.078709829,6.409474666,4.43457E-12,1.42064E-10,Prx6005,FBgn0031479
IM3,4.65840373,4.57684695,4.83291E-12,1.54277E-10,IM3,FBgn0040736
CG3244,1.875989843,5.989256757,4.92104E-12,1.56538E-10,Clect27,FBgn0031629
NetB,-1.640253662,4.828428877,5.13907E-12,1.62899E-10,NetB,FBgn0015774
Cyp4p1,1.385745242,9.653327322,5.24426E-12,1.65653E-10,Cyp4p1,FBgn0015037
rtet,1.748342122,4.321308927,5.33598E-12,1.67963E-10,rtet,FBgn0028468
CG12507,-7.404115664,1.162654162,5.92502E-12,1.85856E-10,CG12507,FBgn0030729
CG9372,1.069399688,8.308260917,6.83574E-12,2.13682E-10,CG9372,FBgn0036891
CG6910,1.709607596,6.874904803,7.13028E-12,2.2212E-10,CG6910,FBgn0036262
Gld,2.100161118,4.173317345,7.65149E-12,2.37538E-10,Gld,FBgn0001112
CG1271,1.067524905,5.890786905,7.86277E-12,2.43261E-10,CG1271,FBgn0035392
GNBP3,1.280602966,5.578564493,7.891E-12,2.43301E-10,GNBP3,FBgn0040321
gnu,-4.292987913,1.965081008,8.40491E-12,2.58083E-10,gnu,FBgn0001120
CG9636,-1.076168246,6.546606915,8.42756E-12,2.58083E-10,CG9636,FBgn0037556
CG31157,5.646998211,1.045835752,8.90802E-12,2.71875E-10,CG31157,FBgn0051157
ppk10,-5.933716965,1.627908405,1.08664E-11,3.3053E-10,ppk10,FBgn0065110
