batch	genotype	stage	n_counts	n_genes	PN_type	MARS	HDBSCAN	MARS_2way_matched	MARS_2way_matched_PN_type	lineage	X24h_HDBSCAN	matched_type_with_stage	mannually_matched	cell
0	VT033006-GFP	0h	7028534	5076	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_A12
0	VT033006-GFP	0h	6937168	3751	DA1_fru+	26	15	15	DA1_fru+	lPN	na	DA1_fru+: 0h	nan	PN_0h_VTGAL4_P1_A15
0	VT033006-GFP	0h	3927134	1320	nan	18	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A18
0	VT033006-GFP	0h	2151156	2448	DC2	6	33	18	DC2	adPN	na	DC2: 0h	nan	PN_0h_VTGAL4_P1_A19
0	VT033006-GFP	0h	1619574	2016	nan	14	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A1
0	VT033006-GFP	0h	5445194	2803	MARS_9	11	-1	9	MARS_9	lPN	na	MARS_9: 0h	MARS_9	PN_0h_VTGAL4_P1_A20
0	VT033006-GFP	0h	6980964	3314	DL1	17	20	8	DL1	adPN	na	DL1: 0h	DL1	PN_0h_VTGAL4_P1_A21
0	VT033006-GFP	0h	9217776	3470	DL1	17	20	8	DL1	adPN	na	DL1: 0h	DL1	PN_0h_VTGAL4_P1_A2
0	VT033006-GFP	0h	746054	1520	nan	7	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A3
0	VT033006-GFP	0h	3791040	2524	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A4
0	VT033006-GFP	0h	6965128	2555	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_A5
0	VT033006-GFP	0h	3156937	2448	DA1_fru-	13	15	23	DA1_fru-	lPN	na	DA1_fru-: 0h	nan	PN_0h_VTGAL4_P1_A6
0	VT033006-GFP	0h	3438642	2608	DC2	6	33	18	DC2	adPN	na	DC2: 0h	nan	PN_0h_VTGAL4_P1_A9
0	VT033006-GFP	0h	7319421	3316	DM2	20	25	11	DM2	lPN	na	DM2: 0h	nan	PN_0h_VTGAL4_P1_B10
0	VT033006-GFP	0h	8482149	3857	nan	7	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B11
0	VT033006-GFP	0h	4600183	3828	MARS_9	11	37	9	MARS_9	lPN	na	MARS_9: 0h	MARS_9	PN_0h_VTGAL4_P1_B13
0	VT033006-GFP	0h	2689098	2043	D	5	-1	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_B14
0	VT033006-GFP	0h	8076524	4098	MARS_7	4	32	7	MARS_7	adPN	na	MARS_7: 0h	MARS_7	PN_0h_VTGAL4_P1_B15
0	VT033006-GFP	0h	149740	1290	nan	18	-1	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B17
0	VT033006-GFP	0h	526476	1641	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B18
0	VT033006-GFP	0h	1861489	1384	nan	18	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B1
0	VT033006-GFP	0h	5091494	2458	VA1d	22	24	10	VA1d	adPN	na	VA1d: 0h	nan	PN_0h_VTGAL4_P1_B20
0	VT033006-GFP	0h	624388	1738	nan	NaN	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B23
0	VT033006-GFP	0h	3927224	4961	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_B24
0	VT033006-GFP	0h	2270420	1228	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B4
0	VT033006-GFP	0h	5629956	2557	VM7 or VM5v #1	2	0	nan	nan	adPN	na	VM7 or VM5v #1: 0h	VM7 or VM5v #1	PN_0h_VTGAL4_P1_B5
0	VT033006-GFP	0h	3182345	2064	nan	NaN	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B6
0	VT033006-GFP	0h	659890	1016	nan	NaN	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_B7
0	VT033006-GFP	0h	3311788	2245	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_B8
0	VT033006-GFP	0h	365135	1112	nan	12	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_C11
0	VT033006-GFP	0h	6857598	3397	VM7 or VM5v #1	2	0	nan	nan	adPN	na	VM7 or VM5v #1: 0h	VM7 or VM5v #1	PN_0h_VTGAL4_P1_C12
0	VT033006-GFP	0h	2248068	3213	DA1_fru+	26	22	15	DA1_fru+		na	DA1_fru+: 0h	nan	PN_0h_VTGAL4_P1_C14
0	VT033006-GFP	0h	4206246	2953	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_C15
0	VT033006-GFP	0h	211289	1774	nan	18	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_C16
0	VT033006-GFP	0h	554353	1677	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_C19
0	VT033006-GFP	0h	4570425	2892	VA5	10	38	26	VA5	lPN	na	VA5: 0h	VA5	PN_0h_VTGAL4_P1_C1
0	VT033006-GFP	0h	145895	1662	DC2	6	33	18	DC2	adPN	na	DC2: 0h	nan	PN_0h_VTGAL4_P1_C20
0	VT033006-GFP	0h	379647	1336	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_C21
0	VT033006-GFP	0h	874542	2194	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_C22
0	VT033006-GFP	0h	109106	1343	nan	18	0	nan	nan	APL	na	nan: 0h	nan	PN_0h_VTGAL4_P1_C23
0	VT033006-GFP	0h	6471306	2800	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_C24
0	VT033006-GFP	0h	8992120	2899	nan	14	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_C2
0	VT033006-GFP	0h	2167243	1457	VM2	1	0	13	VM2		na	VM2: 0h	VM2	PN_0h_VTGAL4_P1_C3
0	VT033006-GFP	0h	4189342	2430	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_C6
0	VT033006-GFP	0h	503562	1369	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_C7
0	VT033006-GFP	0h	5265786	3547	DC3	25	24	20	DC3	adPN	na	DC3: 0h	nan	PN_0h_VTGAL4_P1_C9
0	VT033006-GFP	0h	2611492	2252	nan	18	15	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_D14
0	VT033006-GFP	0h	7440468	3788	VM2	1	0	13	VM2	adPN	na	VM2: 0h	VM2	PN_0h_VTGAL4_P1_D15
0	VT033006-GFP	0h	5654241	2872	DC3	25	24	20	DC3	adPN	na	DC3: 0h	nan	PN_0h_VTGAL4_P1_D1
0	VT033006-GFP	0h	198341	1463	VA1v	0	0	6	VA1v	adPN	na	VA1v: 0h	VA1v	PN_0h_VTGAL4_P1_D21
0	VT033006-GFP	0h	519503	1724	D	5	-1	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_D22
0	VT033006-GFP	0h	4908285	2704	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_D23
0	VT033006-GFP	0h	7724098	4394	DA4l	9	18	nan	nan	adPN	na	DA4l: 0h	DA4l	PN_0h_VTGAL4_P1_D3
0	VT033006-GFP	0h	2784638	2178	nan	7	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_D5
0	VT033006-GFP	0h	1392567	1600	VA1d	22	24	10	VA1d	adPN	na	VA1d: 0h	nan	PN_0h_VTGAL4_P1_D7
0	VT033006-GFP	0h	5884361	3988	DA4l	9	18	nan	nan	adPN	na	DA4l: 0h	DA4l	PN_0h_VTGAL4_P1_E11
0	VT033006-GFP	0h	2426516	1349	MARS_7	4	-1	7	MARS_7		na	MARS_7: 0h	MARS_7	PN_0h_VTGAL4_P1_E13
0	VT033006-GFP	0h	152346	1131	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_E17
0	VT033006-GFP	0h	5547196	3661	DC3	25	24	20	DC3	adPN	na	DC3: 0h	nan	PN_0h_VTGAL4_P1_E19
0	VT033006-GFP	0h	2383407	2646	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_E1
0	VT033006-GFP	0h	3539066	2377	VM7 or VM5v #1	2	0	nan	nan	adPN	na	VM7 or VM5v #1: 0h	VM7 or VM5v #1	PN_0h_VTGAL4_P1_E20
0	VT033006-GFP	0h	112837	1016	nan	NaN	0	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_E22
0	VT033006-GFP	0h	3549857	2482	DC2	6	33	18	DC2	adPN	na	DC2: 0h	nan	PN_0h_VTGAL4_P1_E4
0	VT033006-GFP	0h	3313183	2278	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_E8
0	VT033006-GFP	0h	3938342	5021	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_F11
0	VT033006-GFP	0h	1415893	1806	VM7 or VM5v #2	3	0	28	VM7 or VM5v #2	lPN	na	VM7 or VM5v #2: 0h	VM7 or VM5v #2	PN_0h_VTGAL4_P1_F13
0	VT033006-GFP	0h	763947	1999	MARS_5	16	20	nan	nan	adPN	na	MARS_5: 0h	MARS_5	PN_0h_VTGAL4_P1_F14
0	VT033006-GFP	0h	512037	1354	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_F16
0	VT033006-GFP	0h	1706280	3600	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_F18
0	VT033006-GFP	0h	3930131	2125	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_F1
0	VT033006-GFP	0h	579702	3911	nan	NaN	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_F21
0	VT033006-GFP	0h	366621	3297	nan	14	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_F22
0	VT033006-GFP	0h	1954538	3186	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_F23
0	VT033006-GFP	0h	3450876	3066	DA1_fru+	26	22	15	DA1_fru+	lPN	na	DA1_fru+: 0h	nan	PN_0h_VTGAL4_P1_F24
0	VT033006-GFP	0h	6185425	2612	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_F6
0	VT033006-GFP	0h	2613297	2365	VA1v	0	0	6	VA1v	adPN	na	VA1v: 0h	VA1v	PN_0h_VTGAL4_P1_F9
0	VT033006-GFP	0h	1476104	2600	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_G14
0	VT033006-GFP	0h	269207	3767	DA1_fru+	26	15	15	DA1_fru+	lPN	na	DA1_fru+: 0h	nan	PN_0h_VTGAL4_P1_G16
0	VT033006-GFP	0h	387201	1491	nan	14	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_G17
0	VT033006-GFP	0h	340126	1445	VM7 or VM5v #1	2	0	nan	nan	adPN	na	VM7 or VM5v #1: 0h	VM7 or VM5v #1	PN_0h_VTGAL4_P1_G19
0	VT033006-GFP	0h	3853661	2253	VM7 or VM5v #1	2	0	nan	nan	adPN	na	VM7 or VM5v #1: 0h	VM7 or VM5v #1	PN_0h_VTGAL4_P1_G22
0	VT033006-GFP	0h	6732897	3134	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_G2
0	VT033006-GFP	0h	5169764	2529	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_G5
0	VT033006-GFP	0h	5515294	1871	DA1_fru-	13	15	23	DA1_fru-	lPN	na	DA1_fru-: 0h	nan	PN_0h_VTGAL4_P1_G6
0	VT033006-GFP	0h	5719190	3132	VA5	10	38	26	VA5	lPN	na	VA5: 0h	VA5	PN_0h_VTGAL4_P1_G7
0	VT033006-GFP	0h	2754331	1053	nan	18	18	nan	nan	APL	na	nan: 0h	nan	PN_0h_VTGAL4_P1_G8
0	VT033006-GFP	0h	3872366	3000	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_G9
0	VT033006-GFP	0h	248138	695	nan	18	-1	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_H13
0	VT033006-GFP	0h	459654	1451	VM7 or VM5v #2	3	0	28	VM7 or VM5v #2	adPN	na	VM7 or VM5v #2: 0h	VM7 or VM5v #2	PN_0h_VTGAL4_P1_H16
0	VT033006-GFP	0h	2713602	2024	DA1_fru-	13	15	23	DA1_fru-	lPN	na	DA1_fru-: 0h	nan	PN_0h_VTGAL4_P1_H18
0	VT033006-GFP	0h	6143134	3866	VA1d	22	24	10	VA1d	adPN	na	VA1d: 0h	nan	PN_0h_VTGAL4_P1_H1
0	VT033006-GFP	0h	456001	4866	VA6	8	18	0	VA6		na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_H20
0	VT033006-GFP	0h	7016945	3531	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_H24
0	VT033006-GFP	0h	3542901	2189	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_H3
0	VT033006-GFP	0h	3844170	1300	nan	18	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_H4
0	VT033006-GFP	0h	5556892	2992	MARS_5	16	20	nan	nan	adPN	na	MARS_5: 0h	MARS_5	PN_0h_VTGAL4_P1_H6
0	VT033006-GFP	0h	1173443	1525	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_H7
0	VT033006-GFP	0h	5611829	2894	VM2	1	0	13	VM2	adPN	na	VM2: 0h	VM2	PN_0h_VTGAL4_P1_I16
0	VT033006-GFP	0h	7362328	3431	VA5	10	38	26	VA5	lPN	na	VA5: 0h	VA5	PN_0h_VTGAL4_P1_I17
0	VT033006-GFP	0h	7268417	3349	VM2	1	0	13	VM2	adPN	na	VM2: 0h	VM2	PN_0h_VTGAL4_P1_I18
0	VT033006-GFP	0h	6631555	3237	MARS_7	4	32	7	MARS_7	adPN	na	MARS_7: 0h	MARS_7	PN_0h_VTGAL4_P1_I20
0	VT033006-GFP	0h	2369255	2638	VC2	27	22	16	VC2	lPN	na	VC2: 0h	VC2	PN_0h_VTGAL4_P1_I23
0	VT033006-GFP	0h	3900904	3939	DC2	6	33	18	DC2	adPN	na	DC2: 0h	nan	PN_0h_VTGAL4_P1_I2
0	VT033006-GFP	0h	4885278	3629	VA1v	0	0	6	VA1v	adPN	na	VA1v: 0h	VA1v	PN_0h_VTGAL4_P1_I4
0	VT033006-GFP	0h	7510581	4241	VC2	27	22	16	VC2	lPN	na	VC2: 0h	VC2	PN_0h_VTGAL4_P1_I5
0	VT033006-GFP	0h	6257609	3288	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_I6
0	VT033006-GFP	0h	2692308	2138	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_I7
0	VT033006-GFP	0h	6599154	4198	MARS_5	16	20	nan	nan	adPN	na	MARS_5: 0h	MARS_5	PN_0h_VTGAL4_P1_I9
0	VT033006-GFP	0h	1826184	2133	DC3	25	24	20	DC3	adPN	na	DC3: 0h	nan	PN_0h_VTGAL4_P1_J12
0	VT033006-GFP	0h	1136746	2019	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_J13
0	VT033006-GFP	0h	1145805	1252	VM7 or VM5v #2	3	0	28	VM7 or VM5v #2	adPN	na	VM7 or VM5v #2: 0h	VM7 or VM5v #2	PN_0h_VTGAL4_P1_J14
0	VT033006-GFP	0h	860872	813	nan	18	18	nan	nan	APL	na	nan: 0h	nan	PN_0h_VTGAL4_P1_J16
0	VT033006-GFP	0h	4479158	2449	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_J18
0	VT033006-GFP	0h	3427673	3597	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_J19
0	VT033006-GFP	0h	2143048	2269	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_J20
0	VT033006-GFP	0h	6679845	2376	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_J24
0	VT033006-GFP	0h	2441040	1371	VA5	10	-1	26	VA5		na	VA5: 0h	VA5	PN_0h_VTGAL4_P1_J6
0	VT033006-GFP	0h	4166845	2344	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_J7
0	VT033006-GFP	0h	4609314	2155	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_J8
0	VT033006-GFP	0h	874162	1905	VA1d	22	24	10	VA1d	adPN	na	VA1d: 0h	nan	PN_0h_VTGAL4_P1_J9
0	VT033006-GFP	0h	5314215	3149	nan	14	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_K12
0	VT033006-GFP	0h	2852366	2415	D	5	-1	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_K14
0	VT033006-GFP	0h	5760241	3051	MARS_7	4	-1	7	MARS_7		na	MARS_7: 0h	MARS_7	PN_0h_VTGAL4_P1_K15
0	VT033006-GFP	0h	6400427	2828	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_K16
0	VT033006-GFP	0h	4382446	3260	DA1_fru-	13	15	23	DA1_fru-	lPN	na	DA1_fru-: 0h	nan	PN_0h_VTGAL4_P1_K17
0	VT033006-GFP	0h	5297488	3470	MARS_9	11	37	9	MARS_9	lPN	na	MARS_9: 0h	MARS_9	PN_0h_VTGAL4_P1_K19
0	VT033006-GFP	0h	3751535	3229	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_K20
0	VT033006-GFP	0h	192521	776	nan	18	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_K22
0	VT033006-GFP	0h	786446	2001	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_K23
0	VT033006-GFP	0h	3278433	2178	DA1_fru+	26	15	15	DA1_fru+	lPN	na	DA1_fru+: 0h	nan	PN_0h_VTGAL4_P1_K24
0	VT033006-GFP	0h	4951011	3531	VC2	27	22	16	VC2	lPN	na	VC2: 0h	VC2	PN_0h_VTGAL4_P1_K4
0	VT033006-GFP	0h	7062485	3966	VA5	10	38	26	VA5	lPN	na	VA5: 0h	VA5	PN_0h_VTGAL4_P1_K5
0	VT033006-GFP	0h	3162888	1829	nan	NaN	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_K6
0	VT033006-GFP	0h	4905830	2800	VA1v	0	0	6	VA1v	adPN	na	VA1v: 0h	VA1v	PN_0h_VTGAL4_P1_K9
0	VT033006-GFP	0h	1657206	2142	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_L19
0	VT033006-GFP	0h	3231608	1723	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_L1
0	VT033006-GFP	0h	4238572	3436	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_L20
0	VT033006-GFP	0h	372742	1559	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_L23
0	VT033006-GFP	0h	115975	1282	DM2	20	25	11	DM2	APL	na	DM2: 0h	nan	PN_0h_VTGAL4_P1_L24
0	VT033006-GFP	0h	2792125	2344	DC3	25	24	20	DC3	adPN	na	DC3: 0h	nan	PN_0h_VTGAL4_P1_L6
0	VT033006-GFP	0h	2868008	1890	nan	NaN	18	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_L8
0	VT033006-GFP	0h	1884474	2559	DA1_fru-	13	15	23	DA1_fru-	lPN	na	DA1_fru-: 0h	nan	PN_0h_VTGAL4_P1_M11
0	VT033006-GFP	0h	429232	1326	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_M15
0	VT033006-GFP	0h	1336849	1567	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_M16
0	VT033006-GFP	0h	3407622	3185	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_M17
0	VT033006-GFP	0h	5003460	3249	VC2	27	22	16	VC2	lPN	na	VC2: 0h	VC2	PN_0h_VTGAL4_P1_M18
0	VT033006-GFP	0h	337370	1160	DC3	25	24	20	DC3	adPN	na	DC3: 0h	nan	PN_0h_VTGAL4_P1_M19
0	VT033006-GFP	0h	578080	1615	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_M1
0	VT033006-GFP	0h	2665699	2823	DC3	25	24	20	DC3		na	DC3: 0h	nan	PN_0h_VTGAL4_P1_M20
0	VT033006-GFP	0h	7692286	3171	VA1v	0	0	6	VA1v	adPN	na	VA1v: 0h	VA1v	PN_0h_VTGAL4_P1_M22
0	VT033006-GFP	0h	7945108	2410	DL1	17	20	8	DL1	adPN	na	DL1: 0h	DL1	PN_0h_VTGAL4_P1_M23
0	VT033006-GFP	0h	6705931	3451	nan	21	25	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_M2
0	VT033006-GFP	0h	8097560	4642	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_M4
0	VT033006-GFP	0h	8402628	3045	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_M5
0	VT033006-GFP	0h	3605520	3258	DA4l	9	18	nan	nan	adPN	na	DA4l: 0h	DA4l	PN_0h_VTGAL4_P1_M6
0	VT033006-GFP	0h	2985439	2134	DA1_fru-	13	15	23	DA1_fru-	lPN	na	DA1_fru-: 0h	nan	PN_0h_VTGAL4_P1_M7
0	VT033006-GFP	0h	4267610	2601	VA1d	22	24	10	VA1d	adPN	na	VA1d: 0h	nan	PN_0h_VTGAL4_P1_M8
0	VT033006-GFP	0h	7863831	3492	DA1_fru+	26	15	15	DA1_fru+	lPN	na	DA1_fru+: 0h	nan	PN_0h_VTGAL4_P1_M9
0	VT033006-GFP	0h	6915282	3191	DC2	6	33	18	DC2	adPN	na	DC2: 0h	nan	PN_0h_VTGAL4_P1_N10
0	VT033006-GFP	0h	3864358	2611	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_N13
0	VT033006-GFP	0h	1568232	1994	VA1v	0	0	6	VA1v	adPN	na	VA1v: 0h	VA1v	PN_0h_VTGAL4_P1_N14
0	VT033006-GFP	0h	6475833	2936	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_N15
0	VT033006-GFP	0h	2467757	2113	VA6	8	18	0	VA6		na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_N16
0	VT033006-GFP	0h	3202984	2155	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_N19
0	VT033006-GFP	0h	3772614	2603	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_N22
0	VT033006-GFP	0h	7872172	3284	VA1d	22	24	10	VA1d	adPN	na	VA1d: 0h	nan	PN_0h_VTGAL4_P1_N23
0	VT033006-GFP	0h	3843658	2277	nan	14	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_N3
0	VT033006-GFP	0h	6473609	3602	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_N8
0	VT033006-GFP	0h	8289033	3326	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_O10
0	VT033006-GFP	0h	7667091	4014	DM2	20	25	11	DM2	lPN	na	DM2: 0h	nan	PN_0h_VTGAL4_P1_O11
0	VT033006-GFP	0h	8238483	2707	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_O13
0	VT033006-GFP	0h	991840	1875	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_O16
0	VT033006-GFP	0h	3311414	1489	DC3	25	24	20	DC3		na	DC3: 0h	nan	PN_0h_VTGAL4_P1_O17
0	VT033006-GFP	0h	692719	824	nan	18	-1	nan	nan	APL	na	nan: 0h	nan	PN_0h_VTGAL4_P1_O20
0	VT033006-GFP	0h	736383	1903	nan	NaN	-1	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_O21
0	VT033006-GFP	0h	3666489	2788	nan	12	15	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_O22
0	VT033006-GFP	0h	1793192	1442	D	5	-1	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_O24
0	VT033006-GFP	0h	767733	1725	DL3	15	15	24	DL3	lPN	na	DL3: 0h	nan	PN_0h_VTGAL4_P1_O4
0	VT033006-GFP	0h	1502351	3087	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_O5
0	VT033006-GFP	0h	1351376	2356	VM2	1	0	13	VM2	adPN	na	VM2: 0h	VM2	PN_0h_VTGAL4_P1_O6
0	VT033006-GFP	0h	397190	1626	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_O8
0	VT033006-GFP	0h	526384	1733	DC3	25	24	20	DC3	adPN	na	DC3: 0h	nan	PN_0h_VTGAL4_P1_O9
0	VT033006-GFP	0h	1842504	3104	VA6	8	18	0	VA6	adPN	na	VA6: 0h	VA6	PN_0h_VTGAL4_P1_P14
0	VT033006-GFP	0h	5987176	3459	MARS_9	11	37	9	MARS_9	lPN	na	MARS_9: 0h	MARS_9	PN_0h_VTGAL4_P1_P15
0	VT033006-GFP	0h	7137165	3451	D	5	33	12	D	adPN	na	D: 0h	D	PN_0h_VTGAL4_P1_P16
0	VT033006-GFP	0h	1778999	2625	DC2	6	33	18	DC2	adPN	na	DC2: 0h	nan	PN_0h_VTGAL4_P1_P17
0	VT033006-GFP	0h	6562844	4114	nan	21	25	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_P18
0	VT033006-GFP	0h	501411	1293	nan	23	24	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_P19
0	VT033006-GFP	0h	185293	1323	nan	NaN	0	nan	nan	adPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_P5
0	VT033006-GFP	0h	248090	937	nan	18	-1	nan	nan	APL	na	nan: 0h	nan	PN_0h_VTGAL4_P1_P6
0	VT033006-GFP	0h	788140	2353	nan	21	-1	nan	nan	lPN	na	nan: 0h	nan	PN_0h_VTGAL4_P1_P7
0	VT033006-GFP	0h	3513549	2897	VA5	10	38	26	VA5	lPN	na	VA5: 0h	VA5	PN_0h_VTGAL4_P1_P8
