batch	genotype	stage	n_counts	n_genes	PN_type	MARS	HDBSCAN	MARS_2way_matched	MARS_2way_matched_PN_type	lineage	X24h_HDBSCAN	matched_type_with_stage	mannually_matched	cell
2	GH146-GFP	48h	1189314	2895	MARS_5	21	23	nan	nan	adPN	na	MARS_5: 48h	MARS_5	PN_48h_GH146_P4_A101
2	GH146-GFP	48h	1892073	3698	VC2	26	53	16	VC2	lPN	na	VC2: 48h	VC2	PN_48h_GH146_P4_A102
2	GH146-GFP	48h	2868846	4027	VA6	23	46	0	VA6	adPN	na	VA6: 48h	VA6	PN_48h_GH146_P4_A103
2	GH146-GFP	48h	317019	3561	VA6	23	46	0	VA6	adPN	na	VA6: 48h	VA6	PN_48h_GH146_P4_A109
2	GH146-GFP	48h	773322	2517	VM7 or VM5v #2	18	13	28	VM7 or VM5v #2	adPN	na	VM7 or VM5v #2: 48h	VM7 or VM5v #2	PN_48h_GH146_P4_A10
2	GH146-GFP	48h	1954569	2656	VC2	26	53	16	VC2	lPN	na	VC2: 48h	VC2	PN_48h_GH146_P4_A115
2	GH146-GFP	48h	2047564	2603	MARS_19	15	-1	19	MARS_19		na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A116
2	GH146-GFP	48h	1407627	2308	MARS_19	15	43	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A118
2	GH146-GFP	48h	2380604	3258	APL	3	35	nan	nan	APL	na	APL: 48h	APL	PN_48h_GH146_P4_A11
2	GH146-GFP	48h	2876426	3533	VA1v	8	7	6	VA1v	adPN	na	VA1v: 48h	VA1v	PN_48h_GH146_P4_A125
2	GH146-GFP	48h	1668860	3118	MARS_27	24	48	27	MARS_27	lPN	na	MARS_27: 48h	MARS_27	PN_48h_GH146_P4_A130
2	GH146-GFP	48h	1620387	1931	nan	6	-1	15	DA1_fru+	lPN	na	nan: 48h	nan	PN_48h_GH146_P4_A132
2	GH146-GFP	48h	2214247	3191	DA1_fru+	6	59	15	DA1_fru+	lPN	na	DA1_fru+: 48h	DA1_fru+	PN_48h_GH146_P4_A136
2	GH146-GFP	48h	3054098	3375	VA1d	17	10	10	VA1d	adPN	na	VA1d: 48h	VA1d	PN_48h_GH146_P4_A140
2	GH146-GFP	48h	2463484	2525	nan	20	-1	nan	nan		na	nan: 48h	nan	PN_48h_GH146_P4_A144
2	GH146-GFP	48h	2612175	3591	DA1_fru+	6	59	15	DA1_fru+	lPN	na	DA1_fru+: 48h	DA1_fru+	PN_48h_GH146_P4_A151
2	GH146-GFP	48h	2029429	2399	MARS_25	4	54	25	MARS_25	lPN	na	MARS_25: 48h	MARS_25	PN_48h_GH146_P4_A154
2	GH146-GFP	48h	2135470	2756	DA1_fru-	16	57	23	DA1_fru-	lPN	na	DA1_fru-: 48h	DA1_fru-	PN_48h_GH146_P4_A158
2	GH146-GFP	48h	2229581	2971	VM7 or VM5v #1	11	13	3	VM7 or VM5v #1	adPN	na	VM7 or VM5v #1: 48h	VM7 or VM5v #1	PN_48h_GH146_P4_A159
2	GH146-GFP	48h	1194754	2387	VC2	26	53	16	VC2	lPN	na	VC2: 48h	VC2	PN_48h_GH146_P4_A15
2	GH146-GFP	48h	3486900	4058	MARS_19	15	-1	19	MARS_19	adPN	na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A160
2	GH146-GFP	48h	2772337	1299	nan	19	-1	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P4_A164
2	GH146-GFP	48h	3265518	3666	DC3	0	10	20	DC3	adPN	na	DC3: 48h	DC3	PN_48h_GH146_P4_A165
2	GH146-GFP	48h	211378	609	VA1v	28	-1	nan	nan		na	VA1v: 48h	VA1v	PN_48h_GH146_P4_A16
2	GH146-GFP	48h	1603004	2551	VA1v	8	7	6	VA1v	adPN	na	VA1v: 48h	VA1v	PN_48h_GH146_P4_A170
2	GH146-GFP	48h	2150918	2687	DL3	2	57	24	DL3	lPN	na	DL3: 48h	DL3	PN_48h_GH146_P4_A171
2	GH146-GFP	48h	1950095	2195	DL3	2	57	24	DL3	lPN	na	DL3: 48h	DL3	PN_48h_GH146_P4_A179
2	GH146-GFP	48h	3270385	4177	MARS_19	15	-1	19	MARS_19		na	MARS_19: 48h	MARS_19	PN_48h_GH146_P4_A184
2	GH146-GFP	48h	1825484	2480	MARS_2	5	52	2	MARS_2	lPN	na	MARS_2: 48h	MARS_2	PN_48h_GH146_P4_A186
2	GH146-GFP	48h	2191864	858	VA1v	28	-1	nan	nan		na	VA1v: 48h	VA1v	PN_48h_GH146_P4_A188
2	GH146-GFP	48h	1426354	1029	nan	14	1	nan	nan	adPN	na	nan: 48h	nan	PN_48h_GH146_P4_A189
2	GH146-GFP	48h	2080761	3095	MARS_27	24	48	27	MARS_27	lPN	na	MARS_27: 48h	MARS_27	PN_48h_GH146_P4_A201
2	GH146-GFP	48h	3343449	3711	vPN	20	2	nan	nan	vPN	na	vPN: 48h	vPN	PN_48h_GH146_P4_A204
2	GH146-GFP	48h	2008972	2035	VM7 or VM5v #2	18	13	28	VM7 or VM5v #2	adPN	na	VM7 or VM5v #2: 48h	VM7 or VM5v #2	PN_48h_GH146_P4_A209
2	GH146-GFP	48h	792944	3648	MARS_2	5	52	2	MARS_2	lPN	na	MARS_2: 48h	MARS_2	PN_48h_GH146_P4_A20
2	GH146-GFP	48h	1596003	2350	APL	3	35	nan	nan	APL	na	APL: 48h	APL	PN_48h_GH146_P4_A214
2	GH146-GFP	48h	2339817	2207	DA1_fru+	6	59	15	DA1_fru+	lPN	na	DA1_fru+: 48h	DA1_fru+	PN_48h_GH146_P4_A216
2	GH146-GFP	48h	1881744	3678	VA5	13	54	26	VA5	lPN	na	VA5: 48h	VA5	PN_48h_GH146_P4_A218
2	GH146-GFP	48h	2364313	3545	DL1	25	36	8	DL1	adPN	na	DL1: 48h	DL1	PN_48h_GH146_P4_A219
