all_types	stage	cell
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_E18-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P1_E16-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P1_E11-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P1_E10-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P1_J24-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P1_A16-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P3_I16-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P4_A334-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A97-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A94-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P1_K12-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P4_A98-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A319-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P5_A342-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P5_A340-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P5_A341-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A330-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P5_A339-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_N16-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_N17-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P2_D20-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_D21-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_N10-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P3_N19-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P7_A259-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A251-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A256-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_J22-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_J21-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A146-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P3_L20-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_O8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A293-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P1_L2-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P1_L3-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P1_L7-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P1_L9-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P2_O2-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P2_A22-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P5_A154-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P3_D2-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P3_L23-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P5_A275-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P2_D22-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P5_A50-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P5_A56-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A35-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P3_B2-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P1_C5-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P1_C4-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P2_O14-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P2_O15-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_O12-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P2_O13-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_O10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_C2-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A322-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A320-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P4_A327-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A326-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P4_A329-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A328-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_B9-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P2_K20-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_D5-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P7_A175-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P2_E10-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P2_K2-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_E13-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_K6-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P2_E17-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_E18-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P2_E19-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P7_A163-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P2_K9-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P4_A357-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P4_A354-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P1_C16-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A353-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P4_A350-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_C2-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P3_C21-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P4_A295-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A358-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P4_A359-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_A12-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P3_K9-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P1_A10-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P1_A17-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_D8-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P1_A15-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P7_A81-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P4_A217-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P3_K2-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P3_K1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_M21-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A213-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A212-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A211-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P4_A292-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_B18-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P3_C5-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P2_I23-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_B12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_B10-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P3_C4-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P3_B16-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P3_B14-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P3_B15-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A176-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P4_A177-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P4_A172-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A173-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_M8-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P3_I21-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P4_A109-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_I24-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A103-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P6_A158-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A31-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A100-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P4_A104-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P4_A56-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A57-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P5_A267-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A266-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P4_A52-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P1_C20-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P7_A102-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P5_A268-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A101-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P3_O12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_C22-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P3_O19-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P1_C23-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P1_D23-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P1_D21-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P1_D20-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_B12-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P4_A162-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A226-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_H18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_H19-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A222-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_H14-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A341-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P6_A342-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P3_H12-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P2_C6-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A98-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P2_D18-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P7_A203-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_D15-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P2_D10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_D13-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P2_D12-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P6_A93-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A97-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P5_A196-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A195-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P6_A152-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P3_M18-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P1_G1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_J8-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P1_G4-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_G9-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P2_N12-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P2_N11-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P1_B21-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P6_A51-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P1_J1-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P1_I9-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P1_I8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_I7-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P1_I6-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_I5-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P1_I3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_I2-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P1_J7-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P1_G20-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P4_A382-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_G24-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_J4-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P6_A220-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P2_F2-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P7_A145-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P5_A12-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_G21-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A253-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A318-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P4_A250-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A256-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P4_A255-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A254-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P4_A313-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P4_A310-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P4_A311-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A316-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A317-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P4_A314-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P5_A229-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P5_A228-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P4_A18-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P3_C14-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_C12-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P3_C11-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P3_C10-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P5_A225-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P5_A224-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P4_A14-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P3_C18-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P3_E7-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_F18-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P1_F19-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P2_N8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_F14-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_N6-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P2_E23-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P1_F17-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P1_F10-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P2_E24-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_L2-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P3_L3-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P3_L1-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P4_A222-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P2_G1-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P2_G3-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P2_G8-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P2_G9-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_L19-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A78-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A78-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A76-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P1_L10-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P1_L11-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P7_A73-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P6_A73-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A152-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P7_A148-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_B22-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P2_B23-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P2_B20-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P2_B21-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A299-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P6_A376-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P7_A296-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P3_H21-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A373-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A270-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P7_A297-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P2_B1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A378-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P3_I19-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_I18-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P6_A301-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P7_A295-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P5_A104-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_I13-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P3_I12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_I14-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_I17-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P5_A350-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P2_N5-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P5_A294-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A296-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P7_A358-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P5_A290-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A292-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P6_A355-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P3_N23-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P3_N21-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P3_N20-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A287-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P3_N24-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P2_H20-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P2_H23-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A248-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P1_I24-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P1_I22-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A247-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P1_I21-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P6_A32-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P6_A279-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A273-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P1_F16-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P6_A270-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P5_A246-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P1_M3-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P1_M2-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P1_M1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_M7-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_M21-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P3_M22-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P1_B18-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P1_B19-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P1_M8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I24-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A118-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_D8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_D9-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I21-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P1_D2-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P2_O20-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P1_D4-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P1_D6-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_D7-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I16-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I17-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P2_I10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I11-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I13-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P3_M24-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I22-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A187-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P1_D3-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P6_A23-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A180-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P5_A3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A2-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P5_A1-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P3_P16-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P2_J1-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_N15-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P2_J7-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_J5-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P6_A99-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P1_G10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_J8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A345-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P4_A153-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P4_A340-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A343-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_P24-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_F16-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P3_F14-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P3_F15-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P3_F12-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_F13-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P3_F18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_C8-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P3_H7-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P1_M15-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_H5-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_M13-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_M12-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P6_A34-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_M10-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A262-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A263-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P4_A189-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A188-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P2_C4-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P4_A267-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P7_A346-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P4_A265-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P5_A318-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_B24-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P3_B23-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P1_F20-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_B21-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P3_B20-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A313-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A271-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A315-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P5_A314-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A317-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A316-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P3_F8-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P3_L18-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P4_A164-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P4_A167-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A163-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_D4-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P7_A26-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A27-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A20-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P7_A21-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P3_M8-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P7_A29-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P4_A62-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P4_A61-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A60-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P7_A118-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P6_A245-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P3_B4-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A117-0-0
