all_types	stage	cell
VL1	24h	ORNcell_24h_ElavCD8GFP_P4_A371-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P4_A372-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A258-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A374-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P4_A375-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A377-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A348-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P4_A379-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P3_F21-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_F20-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P4_A278-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P2_B9-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P2_B8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_I5-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P3_I4-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A298-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P3_I6-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P3_I9-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P2_B2-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P5_A102-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P5_A103-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A275-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P2_B6-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P7_A290-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_B4-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P2_P1-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P2_P3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_P4-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P5_A322-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A248-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P5_A247-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P2_P8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_P21-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P3_C15-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A158-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_C3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_G8-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P3_G7-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_G6-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_G5-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_G4-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P3_F6-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A53-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P7_A52-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I8-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_I9-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P2_I6-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P2_I7-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P2_I5-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P7_A128-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P3_F2-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A121-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P6_A88-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P7_A126-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P2_G17-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P2_G14-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P2_G12-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P1_P1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_G11-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P3_E24-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_P8-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P3_E21-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P3_E22-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P2_G19-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P6_A257-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_C19-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P6_A253-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_C23-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P2_C21-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P6_A329-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A80-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_O13-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_O12-0-0
DL3	24h	ORNcell_24h_ElavCD8GFP_P4_A85-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A86-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P1_O19-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P6_A326-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P1_E22-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P1_E23-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P1_E21-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P1_E24-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P3_K22-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P3_J16-0-0
V	24h	ORNcell_24h_ElavCD8GFP_P3_J14-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_J18-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P3_J19-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_N23-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_B2-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_B3-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_B1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_B6-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_B7-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_H23-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P7_A226-0-0
VM5d/v	24h	ORNcell_24h_ElavCD8GFP_P1_B8-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P1_H20-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P4_A138-0-0
VL1	24h	ORNcell_24h_ElavCD8GFP_P7_A220-0-0
DA1	24h	ORNcell_24h_ElavCD8GFP_P6_A173-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_F5-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P3_E9-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P1_F11-0-0
DM3	24h	ORNcell_24h_ElavCD8GFP_P3_D18-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P5_A81-0-0
