symbol,PN_36h_rep1,PN_36h_rep2,PN_36h_rep3,PN_adult_rep1,PN_adult_rep2,PN_adult_rep3
Pka-C1,9.448465574,8.983650969,8.669138969,9.007570354,9.054784829,9.196036815
CecA1,0.089806327,0.041172495,0,0,0,0
CecB,0.132696544,0,0,0,0,0
CecC,0.503325831,0.490874211,0.403305984,0,0,0
Cp190,5.94030261,5.550173174,5.043726311,5.90069886,5.868130962,5.977041642
Cf2,4.789433612,4.992381354,4.569170407,5.31293595,5.538410518,5.447507315
salr,5.75197747,6.178295844,6.134170191,5.985122969,5.576740935,5.88998945
cg,9.423449209,9.345248235,9.373456854,9.496895554,9.476373858,9.365016161
Cg25C,1.713726341,2.225464736,2.361543831,1.977152498,2.53400048,2.646648315
ChAT,5.772464101,5.271823203,5.361131808,9.14712932,9.196986764,9.120484052
chif,5.730323291,5.441923245,5.376148234,6.7468597,6.503522801,6.187828676
chic,10.89750932,11.14196242,11.12006899,8.744817668,8.858738338,8.809044736
cin,6.499857882,6.770249965,6.810887779,6.750990115,6.428315213,6.143855249
ck,1.995147922,1.803093283,2.022929939,1.602674079,0,0.035045714
cl,7.051305381,7.303993622,7.468892042,6.773342222,6.648824581,6.877472067
Chc,6.671480395,6.75679563,6.766700926,6.33671574,5.990217368,6.185880844
eya,0.973361179,0.856461751,0.516062327,0.306690511,0.126394328,0
clt,6.355125175,6.486601942,6.325212988,6.480271167,6.317846791,6.364837367
cm,6.120906863,6.293527151,6.619091342,6.032877294,5.926488876,5.992168081
cn,0,0.120151752,0,0,0,0
cni,7.007687604,7.269218809,7.11605775,5.780887894,6.239591723,5.971964046
comt,3.979319381,4.248438419,4.308488006,7.607111905,7.650411178,7.698511224
cort,1.308726695,2.1332735,1.903635333,2.59014277,3.088836921,3.325425096
cos,6.637447994,5.998572487,5.845424659,6.639900875,6.382078766,6.644869214
Cp15,0.089806327,0,0,0,0,0
Cp16,0,0,0,0,0,0.035045714
Cp18,0,0.266214546,0.280984078,0,0.631684635,0.135347252
Cp36,0.045601845,0,0,0,0,0.035045714
Cp38,0.214831388,0,0,0,0,0
crc,8.692079193,8.78000935,8.932408241,7.508655219,7.508182773,7.904571118
crm,4.76748822,4.78684716,3.561316968,5.034034321,4.271458398,5.541141573
crn,4.667118737,3.896840345,4.236258459,4.467836802,4.646758008,4.405162272
csw,5.821624014,5.894295073,5.848119768,6.836600072,6.914214583,6.889789598
cta,5.912881933,6.366714382,6.225097053,4.78660562,5.178751384,4.869304028
cv,0.503325831,0.520292387,0.620641262,0.46360926,0.513278718,0.669156436
cv-2,5.379335796,5.256608687,5.156741249,0.90797381,0.914641953,1.108154106
CycA,0.503325831,0.632309912,0.569299184,0.852277114,1.246975234,0.069260254
CycB,0.292540976,0.231061681,0,0.582479838,0.126394328,0.035045714
Cyt-b5-r,0,0.041172495,0,0.961599966,0.043373527,0.135347252
Cyt-c-p,7.768343613,8.017936425,8.125085379,9.534475499,9.431484676,9.535654305
D,4.042537621,2.522998593,3.054986492,3.108879213,4.130248471,3.891785574
D1,9.079032748,8.944174266,8.933201707,8.750382947,8.410011808,8.723176047
Dab,7.165434727,6.813222548,7.122750843,7.382650319,6.877986022,6.856195988
Sap-r,9.649786817,9.575183815,9.627722498,9.668589317,9.597096955,9.39877998
