Glomerulus,Sensillar_type,Sensillum,Sensillum_neuron,Tuning receptor(s),beat-Ia,beat-Ib,beat-Ic,beat-IIa,beat-IIb,beat-IIIa,beat-IIIb ,beat-IIIc,beat-IV ,beat-Va,beat-Vc,beat-VI,beat-VII,side,side-II,side-III,side-IV,side-V,side-VI ,side-VIII
VC5,AC,Ac2,Ac2,Ir41a,2,3,0,1,2,3,1,3,1,0,2,0,2,1,2,0,0,1,3,0
VM1,AC,Ac1,Ac1,Ir92a,0,0,0,0,2,2,3,3,2,0,0,0,3,1,2,0,0,1,3,0
VM4,AC,Ac4,Ac4,Ir76a,0,1,0,0,2,2,2,2,3,0,2,2,3,2,3,0,0,2,3,0
VL1,AC,"Ac1,2,4","Ac1, Ac2, Ac4",Ir75d,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,2,3,0,0,0
VM6,AC,Ac1,Ac1,"Rh50, Amt",0,1,1,0,1,2,3,3,2,0,1,2,2,2,2,2,1,3,2,0
VP1d,SA,Sa2,"Sacculus, chamber II","Ir40a, Ir93a",1,0,0,0,2,2,3,0,3,0,0,0,3,0,2,0,0,3,3,0
VP1l,SA,Sa1,"Sacculus, chamber I","Ir21a, Ir93a",0,0,0,0,0,1,1,1,2,0,0,0,1,2,1,0,0,2,0,0
VP1m,SA,Sa1,"Sacculus, chamber I","Ir68a, Ir93a",0,0,0,0,1,1,0,1,2,0,0,0,1,1,1,0,0,1,0,0
VP2,AR,Ar,Arista,"Gr28b.d, Ir93a",1,0,0,0,3,1,2,2,2,0,0,0,2,0,1,0,0,1,2,0
VP3,AR,Ar,Arista,"Ir21a, Ir93a",0,0,0,0,1,1,1,2,2,0,0,0,0,2,1,0,0,2,2,0
VP4,SA,"Sa1,2","Sacculus, chambers I + II","Ir40a, Ir93a",3,0,0,0,1,2,2,1,2,0,0,0,2,0,0,0,0,1,2,0
VP5,SA,Sa2,"Sacculus, chamber II","Ir68a, Ir93a",0,0,0,0,0,2,3,1,3,0,0,0,2,0,2,0,0,2,2,0
